Year	Production	Role	Director	Company
2013	Rosencrantz and Guildenstern Are Dead	The Player	Simon Philips	Sydney Theatre Company
2013	Cat on a Hot Tin Roof	Brick Pollitt	Simon Stone	Belvoir St Theatre
2011	Hamlet	Hamlet	Simon Phillips	Melbourne Theatre Company
2011	The Wild Duck	Hjalmar Ekdal	Simon Stone	Belvoir St Theatre
2010	The Trial	Josef K	Matthew Lutton	Malthouse Theatre / Sydney Theatre Company
2010	Richard III	Richard III	Simon Phillips	Melbourne Theatre Company
2009	The Promise	Marat	Simon Stone	Belvoir St Theatre
2009	The War of the Roses	Prince Hal/Henry V	Benedict Andrews	Sydney Theatre Company
2008	Gallipoli	Billy Hughes/Ataturk	Nigel Jamieson	Sydney Theatre Company
2008	The Serpent's Teeth	Sam Lewis	Pamela Rabe and Tim Maddock	Sydney Theatre Company
2007	Riflemind	Lee	Philip Seymour Hoffman	Sydney Theatre Company
2007	Dead Caesar	Cassius	Tamara Cook	Sydney Theatre Company
2007	Paul	Yeshua	Wesley Enoch	Belvoir St Theatre
2005	Shakesperealism	Lewis	Tamara Cook	Tamarama Rock Surfers
2004	This Blasted Earth	Father/Scarlett	Leland Kean	Tamarama Rock Surfers
2004	Cross Sections	Aaron	Chris Mead	Tamarama Rock Surfers
2003	Chicks Will Dig You!	Seb	Tamara Cook	Belvoir St Theatre - Downstairs
