School	Nickname	Colors	League	Class	Division
Alexis I. duPont High School	Tigers	Blue and Yellow	DSHA	Flight A	Division 1
Archmere Academy	Auks	Dark Green and White	DSHA	Flight B	Division 3
Caravel Academy	Buccaneers	Garnet and White	DSHA	Fight A	Division 1
Concord High School	Raiders	Maroon and White	DSHA	Flight B	Division 3
Delaware Military Academy	Seahawks	Blue and Gold	DSHA	Flight B	Division 2
Hodgson Vo-Tech High School	Silver Eagles	Silver and Maroon	DSHA	Flight B	Division 3
Middletown High School	Cavaliers	Blue and White	DSHA	Flight B	Division 2
Newark High School	Yellowjackets	Black, Gold and White	DSHA	Flight A	Division 1
Salesianum	Sals	Gold and White	ICSHL	AAA	N/A
St. Elizabeth High School	Vikings	Maroon, Gold and White	DSHA	Flight B	Division 2
St. Mark's High School	Spartans	Green and White	DSHA	Flight A	Division 1
