Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 2, 1979	at Kansas City Chiefs	L 0–14	0–1	Arrowhead Stadium	50,442
2	September 9, 1979	Tampa Bay Buccaneers	L 26–29	0–2	Memorial Stadium	36,374
3	September 16, 1979	at Cleveland Browns	L 10–13	0–3	Cleveland Stadium	72,070
4	September 23, 1979	at Pittsburgh Steelers	L 13–17	0–4	Three Rivers Stadium	49,483
5	September 30, 1979	Buffalo Bills	L 13–31	0–5	Memorial Stadium	31,904
6	October 7, 1979	New York Jets	W 10–8	1–5	Memorial Stadium	32,142
7	October 14, 1979	Houston Oilers	L 16–28	1–6	Memorial Stadium	45,021
8	October 21, 1979	at Buffalo Bills	W 14–13	2–6	Rich Stadium	50,581
9	October 28, 1979	New England Patriots	W 31–26	3–6	Memorial Stadium	41,029
10	November 4, 1979	Cincinnati Bengals	W 38–28	4–6	Memorial Stadium	37,740
11	November 11, 1979	at Miami Dolphins	L 0–19	4–7	Miami Orange Bowl	50,193
12	November 18, 1979	at New England Patriots	L 21–50	4–8	Schaeffer Stadium	60,879
13	November 25, 1979	Miami Dolphins	L 24–28	4–9	Memorial Stadium	38,016
14	December 2, 1979	at New York Jets	L 17–30	4–10	Shea Stadium	47,744
15	December 9, 1979	Kansas City Chiefs	L 7–10	4–11	Memorial Stadium	25,684
16	December 16, 1979	at New York Giants	W 31–7	5–11	Giants Stadium	58,711
