Year	Best teenage/Young Adult	Reader's Vote	Best Non-Fiction	Lifetime Achievement
1996	NA	NA	NA	Jon Cleary
1997	NA	NA	How to Write Crime edited by Marele Day	Alan Yates (aka Carter Brown )
1998	NA	NA	NA	NA
1999	NA	NA	NA	Peter Corris
2000	NA	NA	NA	NA
2001	NA	Bleeding Hearts by Lindy Cameron	NA	Professor Stephen Knight
2002	Blue Murder by Ken Catran	Apartment 255 by Bunty Avieson	NA	Patrick Gallagher
2003	NA	NA	NA	Kerry Greenwood
2004	NA	NA	NA	Bob Bottom
2005	NA	NA	NA	Stuart Coupe
2006	NA	NA	NA	Andrew Rule and John Silvester
2007	NA	NA	NA	Sandra Harvey and Lindsay Simpson
2008	NA	NA	NA	Marele Day
2009	NA	NA	NA	Shane Maloney
2010	NA	NA	NA	Peter Doyle
2011	NA	NA	NA	NA
