Pick #	MLS Team	Player	Position	Affiliation
1	Kansas City Wizards	* Chance Myers	D	UCLA Ventura County Fusion
2	FC Dallas	* Brek Shea	M	Generation adidas
3	Real Salt Lake	* Tony Beltran	D	UCLA Los Angeles Storm
4	Los Angeles Galaxy	Sean Franklin	D	Cal State Northridge San Fernando Valley Quakes
5	Colorado Rapids	* Ciaran O'Brien	M	UC Santa Barbara Tacoma Tide
6	Columbus Crew	Andy Iro	D	UC Santa Barbara
7	Chicago Fire	* Patrick Nyarko	F	Virginia Tech
8	FC Dallas	* Josh Lambo	GK	Generation adidas
9	Toronto FC	Julius James	D	Connecticut
10	Toronto FC	Pat Phelan	M	Wake Forest
11	Kansas City Wizards	* Roger Espinoza	M	Ohio State
12	Chicago Fire	Dominic Cervi	GK	Tulsa
13	New England Revolution	* Rob Valentino	D	San Francisco San Jose Frogs
14	Real Salt Lake	David Horst	D	Old Dominion Hampton Roads Piranhas
