Team	Make	Driver	Sponsor	Car Owner
Arrington Racing	Chrysler Imperial	Buddy Arrington	Arrington Racing	Buddy Arrington
Benfield Racing	Buick Regal	Joe Ruttman	Levi Garrett	Ron Benfield
Blue Max Racing	Pontiac Grand Prix	Tim Richmond	Old Milwaukee	Raymond Beadle
Bobby Hawkins Racing	Chevrolet Monte Carlo	David Pearson	Chattanooga Chew	Bobby Hawkins
Bud Moore Engineering	Ford Thunderbird	Dale Earnhardt	Wrangler Jeans	Bud Moore
Cliff Stewart Racing	Pontiac Grand Prix	Geoff Bodine	Gatorade	Cliff Stewart
DiGard Motorsports	Buick Regal	Bobby Allison	Miller American	Bill Gardner
Donlavey Racing	Ford Thunderbird	Dick Brooks	Chameleon Sunglasses	Junie Donlavey
Ellington Racing	Chevrolet Monte Carlo	Lake Speed	UNO / Bull Frog Knits	Hoss Ellington
Hagan Racing	Chevrolet Monte Carlo	Terry Labonte	Budweiser	Billy Hagan
Hamby Motorsports	Pontiac Grand Prix	Sterling Marlin (R)	Hesco Exhaust Systems	Roger Hamby
Henderson Motorsports	Chevrolet Monte Carlo Buick Regal	Ronnie Hopkins (R)	Food Country USA	Charlie Henderson
Hillin Racing	Buick Regal	Bobby Hillin Jr. (R)	Trap Rock Industries	Bobby Hillin Sr.
Hylton Racing	Chevrolet Monte Carlo	Trevor Boys (R)/ James Hylton	Hylton-McCaig	James Hylton
Jim Stacy Racing	Buick Regal	Morgan Shepherd	ACM Equipment Sales	Jim Stacy
Johnny Hayes Racing	Buick Regal Chevrolet Monte Carlo	Benny Parsons	Skoal / Copenhagen	Johnny Hayes
Junior Johnson & Associates	Chevrolet Monte Carlo	Darrell Waltrip	Pepsi Challenger	Junior Johnson
Langley Racing	Ford Thunderbird	Tommy Gale	Sunny King Ford & Honda	Elmo Langley
Mach 1 Racing	Buick Regal	Harry Gant	Skoal Bandit	Hal Needham
Marcis Auto Racing	Chevrolet Monte Carlo	Dave Marcis	W.H. Bolin	Dave Marcis
McDuffie Racing	Pontiac Grand Prix	J.D. McDuffie	McDuffie Racing	J.D. McDuffie
Means Racing	Chevrolet Monte Carlo	Jimmy Means	Broadway Motors	Jimmy Means
Melling Racing	Ford Thunderbird	Bill Elliott	Melling Oil Pumps	Harry Melling
Morgan-McClure Motorsports	Chevrolet Monte Carlo	Mark Martin	Morgan-McClure Motorsports	Larry McClure
Petty Enterprises	Pontiac Grand Prix	Kyle Petty	7-Eleven	Richard Petty
Petty Enterprises	Pontiac Grand Prix	Richard Petty	STP	Richard Petty
Race Hill Farm Team	Buick Regal	Ron Bouchard	Race Hill Farm Team	Jack Beebe
RahMoc Enterprises	Chevrolet Monte Carlo	Neil Bonnett	Hodgdon	Bob Rahilly
Ranier-Lundy Racing	Chevrolet Monte Carlo	Cale Yarborough	Hardee's	Harry Ranier
Richard Childress Racing	Chevrolet Monte Carlo	Ricky Rudd	Piedmont Airlines	Richard Childress
Robert McEntyre Racing	Buick Regal Chevrolet Monte Carlo	Jody Ridley	Cumberland Carpet Mills	Robert McEntyre
Thomas Racing	Pontiac Grand Prix	Ronnie Thomas	McCord Gaskets	Ronnie Thomas
Ulrich Racing	Buick Regal	D.K. Ulrich	Ulrich Racing	D.K. Ulrich
Wood Brothers Racing	Ford Thunderbird	Buddy Baker	Valvoline	Glen Wood
