Tie no	Home team	Score	Away team	Date
1	Blackpool	0–1	Bournemouth	7 January 1989
2	Sutton United	2–1	Coventry City	7 January 1989
3	Walsall	1–1	Brentford	7 January 1989
Replay	Brentford	1–0	Walsall	10 January 1989
4	Nottingham Forest	3–0	Ipswich Town	7 January 1989
5	Sheffield Wednesday	5–1	Torquay United	7 January 1989
6	Crewe Alexandra	2–3	Aston Villa	7 January 1989
7	Middlesbrough	1–2	Grimsby Town	7 January 1989
8	West Bromwich Albion	1–1	Everton	7 January 1989
Replay	Everton	1–0	West Bromwich Albion	11 January 1989
9	Sunderland	1–1	Oxford United	7 January 1989
Replay	Oxford United	2–0	Sunderland	11 January 1989
10	Derby County	1–1	Southampton	7 January 1989
Replay	Southampton	1–2	Derby County	10 January 1989
11	Shrewsbury Town	0–3	Colchester United	7 January 1989
12	Tranmere Rovers	1–1	Reading	7 January 1989
Replay	Reading	2–1	Tranmere Rovers	11 January 1989
13	Newcastle United	0–0	Watford	7 January 1989
Replay	Watford	2–2	Newcastle United	10 January 1989
Replay	Newcastle United	0–0	Watford	16 January 1989
Replay	Watford	1–0	Newcastle United	18 January 1989
14	Manchester City	1–0	Leicester City	7 January 1989
15	Barnsley	4–0	Chelsea	7 January 1989
16	Portsmouth	1–1	Swindon Town	7 January 1989
Replay	Swindon Town	2–0	Portsmouth	10 January 1989
17	West Ham United	2–2	Arsenal	8 January 1989
Replay	Arsenal	0–1	West Ham United	11 January 1989
18	Brighton & Hove Albion	1–2	Leeds United	7 January 1989
19	Manchester United	0–0	Queens Park Rangers	7 January 1989
Replay	Queens Park Rangers	2–2	Manchester United	11 January 1989
Replay	Manchester United	3–0	Queens Park Rangers	23 January 1989
20	Plymouth Argyle	2–0	Cambridge United	7 January 1989
21	Bradford City	1–0	Tottenham Hotspur	7 January 1989
22	Millwall	3–2	Luton Town	7 January 1989
23	Carlisle United	0–3	Liverpool	7 January 1989
24	Huddersfield Town	0–1	Sheffield United	7 January 1989
25	Cardiff City	1–2	Hull City	7 January 1989
26	Port Vale	1–3	Norwich City	8 January 1989
27	Charlton Athletic	2–1	Oldham Athletic	7 January 1989
28	Kettering Town	1–1	Halifax Town	7 January 1989
Replay	Halifax Town	2–3	Kettering Town	10 January 1989
29	Stoke City	1–0	Crystal Palace	7 January 1989
30	Birmingham City	0–1	Wimbledon	7 January 1989
31	Hartlepool United	1–0	Bristol City	7 January 1989
32	Welling United	0–1	Blackburn Rovers	7 January 1989
