Rank	Name	Nationality	Team	Points
1	Davide Rebellin	Italy	Gerolsteiner	157
2	Alejandro Valverde	Spain	Caisse d'Epargne	107
3	Danilo Di Luca	Italy	Liquigas	100
4	Óscar Freire	Spain	Rabobank	82
5	Stuart O’Grady	Australia	Team CSC	79
6	Stefan Schumacher	Germany	Gerolsteiner	75
7	Fränk Schleck	Luxembourg	Team CSC	63
8	Juan José Cobo	Spain	Saunier Duval-Prodir	62
9	Alberto Contador	Spain	Discovery Channel	58
10	Tom Boonen	Belgium	Quick Step-Innergetic	57
11	Thomas Dekker	Netherlands	Rabobank	55
12	Andreas Klöden	Germany	Astana	53
13	Vladimir Karpets	Russia	Caisse d'Epargne	52
14	Alessandro Ballan	Italy	Lampre-Fondital	50
15	Matthias Kessler	Germany	Astana	50
