Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Dodgers	2 - 1	Park (4-3)	55,239	57-52
August 2	@ Dodgers	4 - 2	Petit (1-2)	54,544	57-53
August 3	@ Dodgers	9 - 3	Davis (4-6)	52,972	57-54
August 4	Pirates	13 - 7	Davis (1-1)	21,826	58-54
August 5	Pirates	3 - 1	Duke (4-10)	25,109	59-54
August 6	Pirates	2 - 0	Johnson (9-8)	28,556	59-55
August 7	Braves	6 - 4	Petit (1-3)	27,787	59-56
August 8	Braves	11 - 6	Davis (4-7)	27,996	59-57
August 9	Braves	11 - 4	Haren (12-6)	36,613	59-58
August 10	Braves	6 - 1	Hampton (1-1)	35,838	60-58
August 12	@ Rockies	4-2	Jiménez (8-11)	31,218	61-58
August 13	@ Rockies	6-5	Rauch (4-3)	30,247	61-59
August 14	@ Rockies	6-2	Rusch (5-4)	27,575	62-59
August 15	@ Astros	12-2	Rodríguez (7-5)	36,035	63-59
August 16	@ Astros	11-5	Backe (7-12)	39,501	64-59
August 17	@ Astros	3-0	Johnson (10-9)	42,619	64-60
August 19	Padres	7-6	Banks (3-6)	24,739	65-60
August 20	Padres	8-6	Peavy (9-9)	26,518	66-60
August 21	Padres	4-1	Reineke (1-1)	25,611	67-60
August 22	Marlins	5-4	Rauch (4-4)	28,201	67-61
August 23	Marlins	7-1	Volstad (4-3)	44,294	68-61
August 24	Marlins	5-2	Davis (5-8)	31,518	68-62
August 25	@ Padres	4-2	Rauch (4-5)	29,197	68-63
August 26	@ Padres	9-2	Webb (19-5)	32,104	68-64
August 27	@ Padres	5-4	Qualls (2-8)	24,563	68-65
August 29	Dodgers	9-3	Kuroda (7-10)	32,610	69-65
August 30	Dodgers	6-2	Haren (14-7)	49,045	69-66
August 31	Dodgers	8-1	Webb (19-6)	43,456	69-67
