Camera	Sensor resolution	Sensor	Output	CPU usage	IR LEDs
Ideal webcam	640x480	monochrome	highly compressed	small	Yes
OEM IR webcam	640x480	color	JPEG compressed	small	Yes
Sony PlayStation EyeToy	640x480	color	JPEG compressed	small	No
Sony PlayStation 3 Eye	640x480	color	JPEG compressed, raw	small	No
Microsoft Xbox Live Vision	640x480	color	JPEG compressed, raw	small	No
Nintendo Wii Remote	128x96	color	point coordinates	none	No
NaturalPoint TrackIR 1	60k pixels (e.g. 300x200)	monochrome	binary threshold	minimal	Yes
NaturalPoint TrackIR 2	60k pixels (e.g. 300x200)	monochrome	binary threshold	minimal	Yes
NaturalPoint TrackIR 3	355x288	monochrome	binary threshold	minimal	Yes
NaturalPoint TrackIR 3 Pro	355x288	monochrome	binary threshold	minimal	Yes
NaturalPoint TrackIR 4 Pro	355x288 (subsampled at 710x480)	monochrome	binary threshold	minimal	Yes
NaturalPoint TrackIR 5	640x480	monochrome	grayscale threshold	minimal	Yes
NaturalPoint SmartNav 1/2	60k pixels (e.g. 300x200)	monochrome	binary threshold	minimal	Yes
NaturalPoint SmartNav 3	355x288	monochrome	binary threshold	minimal	Yes
NaturalPoint SmartNav 4	640x480 (subsampled at 1280x480 )	monochrome	grayscale threshold	minimal	Yes
