No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
152	1	"Same Time Next Year"	Jay Sandrich	Ehrich Van Lowe	September 20, 1990	0701
153	2	"Bird in the Hand"	Jay Sandrich	Steve Kline & Bryan Winter	September 27, 1990	0702
154	3	"Last Barbecue"	Ellen Falcon	Bernie Kukoff & Janet Leahy	October 4, 1990	0704
155	4	"Period of Adjustment"	Ellen Falcon	Gordon Gartrelle & Lore Kimbrough	October 11, 1990	0703
156	5	"It's All in the Game"	Neema Barnette	Janet Leahy & Bryan Winter	October 18, 1990	0706
158-159	7-8	"Just Thinking About It"	Jay Sandrich	Bernie Kukoff & Ehrich Van Lowe	November 1, 1990	0707-0708
161	10	"You Can Go Home Again"	Oz Scott	Lore Kimbrough & Steve Kline & Bernie Kukoff	November 15, 1990	0709
162	11	"It's a Boy"	Chuck Vinson	Bernie Kukoff & Ehrich Van Lowe	November 29, 1990	0710
163	12	"Clair's Liberation"	John Bowab	Bernie Kukoff & Ehrich Van Lowe	December 6, 1990	0713
164	13	"It's Your Move"	Jay Sandrich	Steve Kline & Bryan Winter	December 13, 1990	0714
165	14	"Theo's Final Final"	Neema Barnette	Elaine Arata	January 3, 1991	0715
166	15	"Attack of the Killer B's"	Art Dielhenn	Elaine Arata & Lore Kimbrough	January 10, 1991	0717
167	16	"Total Control"	Jay Sandrich	Bernie Kukoff & Ehrich Van Lowe	January 31, 1991	0718
168	17	"Adventures in Babysitting"	Oz Scott	Steve Kline	February 7, 1991	0719
169	18	"27 and Still Cooking"	Neema Barnette	Gordon Gartrelle & Janet Leahy	February 14, 1991	0716
170	19	"The Return of the Clairettes"	Neema Barnette	Lisa Albert	February 21, 1991	0720
171	20	"No More Mr. Nice Guy"	Jay Sandrich	Steve Kline & Brayn Winter	February 28, 1991	0711
172	21	"Home Remedies"	Jay Sandrich	Mark St. Germain	March 7, 1991	0722
173	22	"Nightmare on Stigwood Avenue"	Carl Lauten & Malcolm-Jamal Warner	Lore Kimbrough & Steve Kline	March 21, 1991	0723
174	23	"There's Still No Joy in Mudville"	Carl Lauten	Gordon Gartrelle & Matt Robinson	April 4, 1991	0721
175	24	"Cliff and Jake"	Jay Sandrich	Mark St. Germain	April 11, 1991	0627
176	25	"Theo and the Kids: Part 1"	John Bowab	Bernie Kukoff & Ehrich Van Lowe	April 25, 1991	0724
