Rider	Bike	Laps	Time	Grid
Troy Bayliss	Ducati 1098 F08	18	36:11.468	7
Max Biaggi	Ducati 1098 RS 08	18	+0.396	3
Troy Corser	Yamaha YZF-R1	18	+1.878	1
Rubén Xaus	Ducati 1098 RS 08	18	+4.487	2
Max Neukirchner	Suzuki GSX-R1000	18	+7.505	4
Carlos Checa	Honda CBR1000RR	18	+9.639	9
Fonsi Nieto	Suzuki GSX-R1000	18	+9.725	11
Yukio Kagayama	Suzuki GSX-R1000	18	+19.537	8
Michel Fabrizio	Ducati 1098 F08	18	+23.156	10
Jakub Smrž	Ducati 1098 RS 08	18	+24.429	12
Roberto Rolfo	Honda CBR1000RR	18	+27.595	15
Kenan Sofuoğlu	Honda CBR1000RR	18	+27.979	14
Gregorio Lavilla	Honda CBR1000RR	18	+28.237	13
Noriyuki Haga	Yamaha YZF-R1	18	+30.205	6
Régis Laconi	Kawasaki ZX-10R	18	+31.882	25
Lorenzo Lanzi	Ducati 1098 RS 08	18	+32.067	5
Karl Muggeridge	Honda CBR1000RR	18	+40.745	18
Ayrton Badovini	Kawasaki ZX-10R	18	+41.280	16
Vittorio Iannuzzo	Kawasaki ZX-10R	18	+41.333	21
Sébastien Gimbert	Yamaha YZF-R1	18	+41.743	17
Shinichi Nakatomi	Yamaha YZF-R1	18	+43.183	26
Ryuichi Kiyonari	Honda CBR1000RR	18	+43.569	20
David Checa	Yamaha YZF-R1	18	+43.892	19
Russell Holland	Honda CBR1000RR	18	+50.380	22
Shuhei Aoyama	Honda CBR1000RR	18	+1:12.884	27
Luca Morelli	Honda CBR1000RR	12	Retirement	24
Loic Napoleone	Yamaha YZF-R1	12	Retirement	28
Makoto Tamada	Kawasaki ZX-10R	5	Retirement	23
