Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 11	Los Angeles Open	California	Billy Casper (44)	276 (–8)	20,000
Jan 18	Phoenix Open Invitational	Arizona	Dale Douglass (3)	271 (–13)	20,000
Jan 25	Bing Crosby National Pro-Am	California	Bert Yancey (6)	278 (–10)	25,000
Feb 1	Andy Williams-San Diego Open Invitational	California	Pete Brown (2)	275 (–13)	30,000
Feb 8	Bob Hope Desert Classic	California	Bruce Devlin (5)	339 (–21)	25,000
Feb 15	Tucson Open Invitational	Arizona	Lee Trevino (4)	275 (–13)	20,000
Feb 22	San Antonio Open Invitational	Texas	Ron Cerrudo (2)	273 (–7)	20,000
Mar 1	Doral-Eastern Open Invitational	Florida	Mike Hill (1)	279 (–9)	30,000
Mar 8	Florida Citrus Invitational	Florida	Bob Lunn (4)	271 (–17)	30,000
Mar 15	Monsanto Open	Florida	Dick Lotz (2)	275 (–9)	30,000
Mar 23	Greater Jacksonville Open	Florida	Don January (8)	279 (–9)	20,000
Mar 29	National Airlines Open Invitational	Florida	Lee Trevino (5)	274 (–14)	40,000
Apr 5	Greater Greensboro Open	North Carolina	Gary Player (13)	271 (–13)	36,000
Apr 12	Masters Tournament	Georgia	Billy Casper (45)	279 (–9)	25,000
Apr 20	Greater New Orleans Open Invitational	Louisiana	Miller Barber (5)	278 (–10)	25,000
Apr 26	Tournament of Champions	California	Frank Beard (9)	273 (–15)	30,000
Apr 26	Tallahassee Open Invitational	Florida	Harold Henning (2)	277 (–11)	10,000
May 3	Byron Nelson Golf Classic	Texas	Jack Nicklaus (31)	274 (–6)	20,000
May 10	Houston Champions International	Texas	Gibby Gilbert (1)	282 (–2)	23,000
May 17	Colonial National Invitation	Texas	Homero Blancas (2)	273 (–7)	25,000
May 24	Atlanta Classic	Georgia	Tommy Aaron (2)	275 (–13)	25,000
May 31	Danny Thomas Memphis Classic	Tennessee	Dave Hill (8)	267 (–13)	30,000
Jun 7	Kemper Open	North Carolina	Dick Lotz (3)	278 (–10)	30,000
Jun 14	Western Open	Illinois	Hugh Royer, Jr. (1)	273 (–11)	26,000
Jun 21	U.S. Open	Minnesota	Tony Jacklin (3)	281 (–7)	30,000
Jun 28	Cleveland Open	Ohio	Bruce Devlin (6)	268 (–12)	30,000
Jul 5	Canadian Open	Canada	Kermit Zarley (2)	279 (–9)	25,000
Jul 12	Greater Milwaukee Open	Wisconsin	Deane Beman (2)	276 (–12)	22,000
Jul 12	British Open	Scotland	Jack Nicklaus (32)	283 (–5)	12,600
Jul 19	IVB-Philadelphia Golf Classic	Pennsylvania	Billy Casper (46)	274 (–14)	30,000
Jul 26	National Four-Ball Championship PGA Players	Pennsylvania	Jack Nicklaus (33) Arnold Palmer (57)	259 (–25)	20,000 each
Aug 2	Westchester Classic	New York	Bruce Crampton (8)	273 (–15)	50,000
Aug 9	American Golf Classic	Ohio	Frank Beard (10)	276 (–4)	30,000
Aug 16	PGA Championship	Oklahoma	Dave Stockton (4)	279 (–1)	40,000
Aug 24	AVCO Golf Classic	Massachusetts	Billy Casper (47)	277 (–11)	32,000
Aug 30	Dow Jones Open Invitational	New Jersey	Bobby Nichols (8)	276 (–12)	60,000
Sep 7	Greater Hartford Open Invitational	Connecticut	Bob Murphy (3)	267 (–17)	20,000
Sep 20	Robinson Open Golf Classic	Illinois	George Knudson (7)	268 (–16)	20,000
Sep 27	Green Island Open Invitational	Georgia	Mason Rudolph (5)	274 (–6)	12,000
Oct 4	Azalea Open Invitational	North Carolina	Cesar Sanudo (1)	269 (–15)	12,000
Oct 25	Kaiser International Open Invitational	California	Ken Still (3)	280 (–8)	30,000
Nov 1	Sahara Invitational	Nevada	Babe Hiskey (1)	276 (–12)	20,000
Nov 29	Heritage Golf Classic	South Carolina	Bob Goalby (10)	280 (–4)	20,000
Dec 6	Coral Springs Open Invitational	Florida	Bill Garrett (1)	272 (–12)	25,000
Dec 13	Bahama Islands Open	Bahamas	Doug Sanders (19)	272 (–16)	26,000
