Player	Position	Date of Birth (Age)	Caps	Club/province
Aaron Carpenter	Hooker	1 September 1983	12	Brantford
Pat Riordan	Hooker	30 September 1979	12	Burnaby Lake
Scott Franklin	Prop	23 October 1980	2	Castaway Wanderers
Dan Pletch	Prop	12 April 1983	16	Oakville Crusaders
Mike Pletch	Prop	12 April 1983	7	Oakville Crusaders
Rod Snow	Prop	1 May 1970	55	Newfoundland Rock
Jon Thiel	Prop	31 May 1975	36	Bayside Sharks
Mike Burak	Lock	9 October 1980	15	Pau
Mike James	Lock	21 July 1973	51	Stade Français
Josh Jackson	Lock	2 October 1980	15	Bordeaux Bègles
Luke Tait	Lock	26 October 1981	11	Overmach Parma
David Biddle	Flanker	10 August 1985	1	Meralomas
Jamie Cudmore	Flanker	7 April 1980	17	Clermont Auvergne
Adam Kleeberger	Flanker	2 March 1984	7	University of Victoria
Colin Yukes	Flanker	23 October 1979	29	Agen
Sean-Michael Stephen	Number 8	27 October 1982	8	Béziers
Mike Webb	Number 8	19 June 1979	15	Swilers
Ed Fairhurst	Scrum-half	7 May 1979	27	Cornish Pirates
Matt Weingart	Scrum-half	26 June 1982	6	Castaway Wanderers
Morgan Williams ( c )	Scrum-half	17 April 1976	47	Albi
Nathan Hirayama	Fly-half	23 March 1988	0	University of Victoria
Ander Monro	Fly-half	6 September 1981	6	Waterloo
Ryan Smith	Fly-half	13 September 1979	29	Montauban
Craig Culpan	Centre	17 May 1982	2	Meralomas
Derek Daypuck	Centre	20 February 1978	16	Castaway Wanderers
David Spicer	Centre	31 May 1985	8	University of Victoria
Nick Trenkel	Centre	7 April 1987	0	Capilano
Justin Mensah-Coker	Wing	18 November 1983	7	Albi
James Pritchard	Wing	21 July 1979	12	Bedford Blues
DTH van der Merwe	Wing	28 April 1986	2	James Bay AA
Mike Pyke	Fullback	24 March 1984	14	Montauban
