Place	Player	Country	Score	To par
1	Gary Player	South Africa	70	E
T2	Lou Graham	United States	71	+1
T2	Mike Reasor	United States	71	+1
T4	Jim Colbert	United States	72	+2
T4	Bruce Crampton	Australia	72	+2
T4	Raymond Floyd	United States	72	+2
T4	Bobby Nichols	United States	72	+2
T4	Barney Thompson	United States	72	+2
T9	Arnold Palmer	United States	73	+3
T9	Tom Watson	United States	73	+3
T9	Hale Irwin	United States	73	+3
T9	Rod Funseth	United States	73	+3
T9	Jerry Heard	United States	73	+3
T9	David Graham	Australia	73	+3
T9	Mark Hayes	United States	73	+3
T9	John Buczek	United States	73	+3
