Edition	Round	Date	Against	Surface	Opponent	Result	Outcome
2005 Europe/Africa Zone Group II	1R	3-04-2005	Ivory Coast	Hard (I)	Valentin Sanon	6–4, 6–4, 7–5	Win
2005 Europe/Africa Zone Group II	QF	7-15-2005	Latvia	Clay	Ernests Gulbis	5–7, 6–3, 6–1, 6–4	Win
2005 Europe/Africa Zone Group II	SF	9-25-2005	Portugal	Clay	Rui Machado	3–6, 3–6, 6–2, 4–6	Lose
2006 Europe/Africa Zone Group II	1R	4-07-2006	Algeria	Clay	Slimane Saoudi	7–5, 6–2	Win
2006 Europe/Africa Zone Group II	1R	4-09-2006	Algeria	Clay	Lamine Ouahab	3–6, 6–2, 6–4, 3–6, 4–6	Lose
2006 Europe/Africa Zone Group II	RPO	7-21-2006	Ireland	Grass	Kevin Sorensen	6–2, 7–5, 6–1	Win
2006 Europe/Africa Zone Group II	RPO	7-23-2006	Ireland	Grass	Conor Niland	6–4, 6–2	Win
2007 Europe/Africa Zone Group II	1R	4-06-2007	Estonia	Carpet (I)	Jurgen Zopp	4–6, 6–4, 7–6 (7–3) , 6–3	Win
2007 Europe/Africa Zone Group II	1R	4-08-2007	Estonia	Carpet (I)	Mait Kunnap	6–3, 6–2, 3–6, 6–7 (2–7) , 6–3	Win
2007 Europe/Africa Zone Group II	QF	7-22-2007	Morocco	Hard	Younes El Aynaoui	6–7 (2–7) , 2–6, 4–6	Lose
2008 Europe/Africa Zone Group II	RPO	7-18-2008	Tunisia	Clay	Malek Jaziri	3–6, 6–1, 4–6, 6–3, 6–4	Win
2009 Europe/Africa Zone Group II	1R	3-06-2009	Egypt	Carpet (I)	Sherif Sabry	7–5, 7–6 (8–6) , 6–2	Win
2009 Europe/Africa Zone Group II	QF	7-10-2009	Lithuania	Clay	Ričardas Berankis	6–1, 6–4, 6–3	Win
2009 Europe/Africa Zone Group II	QF	7-12-2009	Lithuania	Clay	Dovydas Sakinis	6–4, 2–6, 6–1	Win
2009 Europe/Africa Zone Group II	SF	9-18-2009	Latvia	Carpet (I)	Andis Juška	6–1, 6–1, 6–4	Win
2009 Europe/Africa Zone Group II	SF	9-20-2009	Latvia	Carpet (I)	Ernests Gulbis	2–6, 6–3, 3–6, 5–7	Lose
2010 Europe/Africa Zone Group II	1R	3-05-2010	Norway	Hard (I)	Erling Tveit	6–2, 6–2, 7–6 (7–2)	Win
2010 Europe/Africa Zone Group II	QF	7-09-2010	Bulgaria	Clay	Todor Enev	6–2, 6–1	Win
2010 Europe/Africa Zone Group II	SF	9-17-2010	Lithuania	Hard (I)	Ričardas Berankis	7–6 (7–2) , 6–4, 6–3	Win
2010 Europe/Africa Zone Group II	SF	9-19-2010	Lithuania	Hard (I)	Laurynas Grigelis	6–3, 7–6 (7–4) , 6–3	Win
2011 Europe/Africa Zone Group I	1R	3-04-2011	Finland	Clay (I)	Jarkko Nieminen	6–3, 3–6, 4–6, 3–6	Lose
2011 Europe/Africa Zone Group I	1R	3-06-2011	Finland	Clay (I)	Micke Kontinen	2–6, 6–3, 6–3, 6–3	Win
2011 Europe/Africa Zone Group I	2R	7-08-2011	Italy	Clay	Fabio Fognini	6–1, 4–6, 4–6, 4–6	Lose
2011 Europe/Africa Zone Group I	2R	7-10-2011	Italy	Clay	Simone Bolelli	5–7, 3–6	Lose
2012 Europe/Africa Zone Group I	1R	2-10-2012	Denmark	Hard (I)	Kristian Pless	6–0, 6–1, 6–4	Win
2012 Europe/Africa Zone Group I	2R	4-06-2012	South Africa	Hard	Izak van der Merwe	1–6, 6–3, 3–6, 4–6	Lose
2013 Europe/Africa Zone Group I	1R	1-02-2013	Poland	Hard (I)	Łukasz Kubot	3-6, 2-6, 0-6	Lose
