Outcome	Date	Tournament	Surface	Partner	Opponent in the final	Score
Runner-up	November 11, 2007	Mallorca , Spain	Clay	Charlene Vanneste	Marina Melnikova Sylwia Zagórska	6–4, 6–4
Runner-up	November 24, 2007	Ramat HaSharon , Israel	Hard	Keren Shlomo	Iryna Kurianovic Mika Urbančič	6–4, 6–1
Winner	February 17, 2008	Albufeira , Portugal	Hard	Marina Melnikova	Martina Babakova Elena Chalova	6–3, 0–6, [11–9]
Winner	March 23, 2008	Porto Rafti , Greece	Hard	Dominice Ripoll	Nicole Clerico Mika Urbančič	1–6, 7–5, [10–7]
Winner	May 24, 2008	Ra'anana , Israel	Hard	Manana Shapakidze	Chen Astrogo Marcella Koek	7–5, 6–7 (5–7) , [10–6]
Runner-up	September 14, 2008	Sarajevo , Bosnia and Herzegovina	Clay	Çağla Büyükakçay	Alberta Brianti Polona Hercog	6–4, 7–5
Winner	May 29, 2010	Ra'anana , Israel	Hard	Keren Shlomo	Efrat Mishor Anna Rapoport	3–6, 7–6 (8–6) , [10–3]
Runner-up	June 26, 2010	Kristinehamn , Sweden	Clay	Pemra Özgen	Mervana Jugić-Salkić Emma Laine	6–2, 6–3
Winner	July 18, 2010	Atlanta , United States	Hard	Kristy Frilling	Irina Falconi Maria Sanchez	6–2, 2–6, [10–7]
Winner	October 23, 2010	Akko , Israel	Hard	Janina Toljan	Gally De Wael Zuzana Linhová	6–2, 6–2
Runner-up	October 29, 2011	Netanya , Israel	Hard	Nicole Clerico	Çağla Büyükakçay Pemra Özgen	7–5, 6–3
Runner-up	April 29, 2012	Charlottesville , United States	Clay	Elena Bovina	Maria Sanchez Yasmin Schnack	6–2, 6–2
Runner-up	May 18, 2012	Saint-Gaudens , France	Clay	Naomi Broady	Vesna Dolonc Irina Khromacheva	6–2, 6–0
Runner-up	July 29, 2012	Lexington , United States	Hard	Olivia Rogowska	Shuko Aoyama Xu Yifan	7–5, 6–7 (4–7) , [10–4]
Winner	August 5, 2012	Vancouver , Canada	Hard	Olivia Rogowska	Jacqueline Cako Natalie Pluskota	6–4, 5–7, [10–7]
Winner	May 18, 2013	Saint-Gaudens , France	Clay	Paula Ormaechea	Stéphanie Dubois Kurumi Nara	7–5, 7–6 (13–11)
Runner-up	June 15, 2013	Nottingham , United Kingdom	Grass	Erika Sema	Julie Coin Stéphanie Foretz Gacon	6–2, 6–4
Runner-up	July, 27, 2013	Lexington , United States	Hard	Chanel Simmonds	Nicha Lertpitaksinchai Peangtarn Plipuech	7–6 (7–5) , 6–3
