Year	Winner	Finalist	Result	City	Stadium
1991	Wernigeröder SV Rot-Weiß	SV Merseburg 99	3-2 aet	Bernburg	Sportplatz Askania
1992	FSV Lok/Altmark Stendal	FC Anhalt Dessau	2-0	Gommern	Sportforum Gommern
1993	1. FC Magdeburg	Hallescher FC	3-2	Hettstedt	Sportpark am Walzwerkhölzchen
1994	Hallescher FC	1.FC Magdeburg	4-3	Thale	Sportpark an der Neinstedter Straße
1995	FSV Lok/Altmark Stendal	FC Anhalt Dessau	4-1	Schönebeck (Elbe)	Sportforum an der Barbarastraße
1996	FSV Lok/Altmark Stendal	VfL Halle 96	3-0	Gommern	Sportforum Gommern
1997	VfL Halle 96	Schönebecker SV 1861	4-2 aet	Köthen	Stadion Rüsternbreite
1998	1. FC Magdeburg	FSV Lok/Altmark Stendal	4-1	Dessau	Paul Greifzu Stadium
1999	VfL Halle 96	FC Anhalt Dessau	3-2	Dessau	Paul Greifzu Stadium
2000	1. FC Magdeburg II	VfL Halle 96	3-2	Dessau	Paul Greifzu Stadium
2001	1. FC Magdeburg	VfB IMO Merseburg	3-0	Dessau	Paul Greifzu Stadium
2002	Hallescher FC	FC Grün-Weiß Wolfen	3-1	Dessau	Paul Greifzu Stadium
2003	1. FC Magdeburg	1.FC Lok Stendal	2-0	Dessau	Paul Greifzu Stadium
2004	TSV Völpke	SV Dessau 05	3-2	Dessau	Paul Greifzu Stadium
2005	Magdeburger SV 90 Preußen	VfB 1906 Sangerhausen	4-2 after penalties	Dessau	Paul Greifzu Stadium
2006	1. FC Magdeburg	SV 09 Staßfurt	1-0	Schönebeck (Elbe)	Sportforum an der Barbarastraße
2007	1. FC Magdeburg II	Magdeburger SV 90 Preußen	3-0	Magdeburg	Stadion Magdeburg
2008	Hallescher FC	1. FC Magdeburg	0-0 (4-3 pen. )	Magdeburg	Stadion Magdeburg
2009	1. FC Magdeburg	Hallescher FC	1–0	Magdeburg	Stadion Magdeburg
2010	Hallescher FC	VfB Germania Halberstadt	3–2	Sangerhausen	Friesenstadion
2011	Hallescher FC	FC Grün-Weiß Piesteritz	2-0	Dessau	Paul Greifzu Stadium
2012	Hallescher FC	Haldensleber SC	4-0	Dessau	Paul Greifzu Stadium
2013	1. FC Magdeburg	VfB Germania Halberstadt	3–1 aet	Magdeburg	MDCC-Arena
