Name	Height	Weight	Spike	2008 club
Andy Rojas Category:Articles with hCards	m ()	kg (lb)	cm (in)	Ermoli
Joel Silva Category:Articles with hCards	m ()	kg (lb)	cm (in)	Apure
Rodman Valera Category:Articles with hCards	m ()	kg (lb)	cm (in)	Compoktuna
Carlos Luna Category:Articles with hCards	m ()	kg (lb)	cm (in)	Toyoda Gosei Trefuerza
Luis Díaz Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tonno Calippo
Ronald Méndez Category:Articles with hCards	m ()	kg (lb)	cm (in)	Bolívar
Ernardo Gómez Category:Articles with hCards	m ()	kg (lb)	cm (in)	Toyoda Gosei Trefuerza
Carlos Tejeda Category:Articles with hCards	m ()	kg (lb)	cm (in)	CV Almería
Iván Márquez Category:Articles with hCards	m ()	kg (lb)	cm (in)	Verening
Thomas Ereu Category:Articles with hCards	m ()	kg (lb)	cm (in)	Taviano
Juan Carlos Blanco Category:Articles with hCards	m ()	kg (lb)	cm (in)	Karava
Freddy Cedeno Category:Articles with hCards	m ()	kg (lb)	cm (in)	Arona
