Tie no	Home team	Score	Away team	Attendance
1	Arsenal	2 – 1	Stoke City	36,579
2	Notts County	1 – 2	Middlesbrough	13,671
3	Manchester United	0 – 0	Exeter City	67,551
replay	Exeter City	0 – 2	Manchester United	9,033
4	Plymouth Argyle	1 – 3	Everton	20,112
5	Leicester City	2 – 2	Blackpool	16,750
replay	Blackpool	0 – 1	Leicester City	6,938
6	Derby County	2 – 1	Wigan Athletic	14,457
7	Sunderland	2 – 1	Crystal Palace	17,536
8	Wolverhampton Wanderers	2 – 0	Millwall	12,566
9	Yeading	0 – 2	Newcastle United	10,824
10	Hull City	0 – 2	Colchester United	14,027
11	Tottenham Hotspur	2 – 1	Brighton & Hove Albion	36,094
12	Reading	1 – 1	Swansea City	13,642
replay	Swansea City	0 – 1	Reading	7,354
13	Birmingham City	3 – 0	Leeds United	25,159
14	Hartlepool United	0 – 0	Boston United	5,342
replay	Boston United	0 – 1	Hartlepool United	3,653
15	Milton Keynes Dons	0 – 2	Peterborough United	4,407
16	Oldham Athletic	1 – 0	Manchester City	13,171
17	Chelsea	3 – 1	Scunthorpe United	40,019
18	Cardiff City	1 – 1	Blackburn Rovers	14,145
replay	Blackburn	3 – 2	Cardiff City	9,140
19	Charlton Athletic	4 – 1	Rochdale	13,955
20	West Ham United	1 – 0	Norwich City	23,389
21	Sheffield United	3 – 1	Aston Villa	14,003
22	Preston North End	0 – 2	West Bromwich Albion	13,005
23	Rotherham United	0 – 3	Yeovil Town	5,397
24	Burnley	1 – 0	Liverpool	19,033
25	Bournemouth	2 – 1	Chester City	7,653
26	Coventry City	3 – 0	Crewe Alexandra	7,629
27	Watford	1 – 1	Fulham	14,896
replay	Fulham	2 – 0	Watford	11,306
28	Ipswich Town	1 – 3	Bolton Wanderers	20,080
29	Portsmouth	1 – 0	Gillingham	14,252
30	Northampton Town	1 – 3	Southampton	7,183
31	Queens Park Rangers	0 – 3	Nottingham Forest	11,140
32	Luton	0 – 2	Brentford	6,681
