Race Title	Circuit	City / State	Date	Winner	Team
Calder	Calder Park Raceway	Melbourne , Victoria	13 - 15 Mar	Wayne Gardner	Wayne Gardner Racing
Phillip Island	Phillip Island Grand Prix Circuit	Phillip Island , Victoria	11 - 13 Apr	Russell Ingall	Castrol Perkins Motorsport
Sandown	Sandown International Raceway	Melbourne , Victoria	25 - 27 Apr	Glenn Seton	Glenn Seton Racing
Symmons Plains	Symmons Plains Raceway	Launceston , Tasmania	2–4 May	Greg Murphy	Holden Racing Team
Winton	Winton Motor Raceway	Benalla , Victoria	16–18 May	Russell Ingall	Castrol Perkins Motorsport
Eastern Creek	Eastern Creek Raceway	Sydney , New South Wales	23–25 May	Glenn Seton	Glenn Seton Racing
Lakeside	Lakeside International Raceway	Brisbane , Queensland	13 - 15 Jun	John Bowe	Dick Johnson Racing
Wanneroo	Barbagallo Raceway	Perth , Western Australia	4 - 6 Jul	Peter Brock	Holden Racing Team
Mallala	Mallala Motor Sport Park	Adelaide , South Australia	11 - 13 Jul	Greg Murphy	Holden Racing Team
Oran Park	Oran Park Raceway	Sydney , New South Wales	1 - 3 Aug	Greg Murphy	Holden Racing Team
