Name	Height	Weight	Spike	2008 club
Lloy Ball Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zenit Kazan
Sean Rooney Category:Articles with hCards	m ()	kg (lb)	cm (in)	Dinamo-Yantar Kalingrad
David Lee Category:Articles with hCards	m ()	kg (lb)	cm (in)	Halkbank Ankara
Richard Lambourne Category:Articles with hCards	m ()	kg (lb)	cm (in)	AZS Olsztyn
William Priddy Category:Articles with hCards	m ()	kg (lb)	cm (in)	Lokomotiv Novosibirsk
Ryan Millar Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sparkling Milano
Riley Salmon Category:Articles with hCards	m ()	kg (lb)	cm (in)	Top Volley SRL
Thomas Hoff Category:Articles with hCards	m ()	kg (lb)	cm (in)	Fakel New Urengoy
Clay Stanley Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zenit Kazan
Kevin Hansen Category:Articles with hCards	m ()	kg (lb)	cm (in)	Stade Poitevin Poitiers
Gabe Gardner Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sparkling Milano
Scott Touzinsky Category:Articles with hCards	m ()	kg (lb)	cm (in)	ACH Volley Bled
