Rank	Name	Nation	Points	Placings
1	Liudmila Pakhomova / Alexander Gorshkov	Soviet Union	524.20	9
2	Angelika Buck / Erich Buck	West Germany	514.55	18
3	Hilary Green / Glyn Watts	United Kingdom	499.05	29
4	Janet Sawbridge / Peter Dalby	United Kingdom	493.25	38
5	Tatiana Voitiuk / Viacheslav Zhigalin	Soviet Union	488.30	43
6	Mary Karen Campbell / Johnny Johns	United States	479.30	60
7	Irina Moiseeva / Andrei Minenkov	Soviet Union	475.80	63.5
8	Diana Skotnická / Martin Skotnický	Czechoslovakia	470.85	72.5
9	Louise Soper / Barry Soper	Canada	471.00	73
10	Anne Millier / Harvey Millier III	United States	459.15	93
11	Matilde Ciccia / Lamberto Ceserani	Italy	452.10	100
12	Rodalind Druce / David Baker	United Kingdom	448.70	107
13	Krisztina Regőczy / András Sallay	Hungary	442.70	115
14	Halina Gordon / Wojciech Bankowski	Poland	425.80	130
15	Barbara Berezowski / David Porter	Canada	426.35	131
16	Anne-Claude Wolfers / Roland Mars	France	408.80	146
17	Christina Henke / Udo Dönsdorf	West Germany	402.00	151
18	Brigitte Scheijbal / Walter Leschetizky	Austria	393.65	160
