Game	November	Opponent	Score	Record	Points
10	1	@ Atlanta Flames	0–3	3–5–2	8
11	2	Buffalo Sabres	3–3	3–5–3	9
12	4	@ Boston Bruins	7–3	4–5–3	11
13	5	Colorado Rockies	6–4	5–5–3	13
14	8	@ Los Angeles Kings	5–3	6–5–3	15
15	10	@ Colorado Rockies	2–2	6–5–4	16
16	12	@ Vancouver Canucks	4–0	7–5–4	18
17	16	Chicago Black Hawks	3–4	7–6–4	18
18	18	@ New York Islanders	2–8	7–7–4	18
19	19	Detroit Red Wings	4–3	8–7–4	20
20	22	@ Buffalo Sabres	3–2	9–7–4	22
21	24	Minnesota North Stars	4–3	10–7–4	24
22	25	@ Pittsburgh Penguins	3–1	11–7–4	26
23	28	@ Montreal Canadiens	0–3	11–8–4	26
24	30	St. Louis Blues	3–0	12–8–4	28
