Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	New Jersey Devils	1 – 2	Montreal	Price	21,273	36–21–9
March 3	Montreal	4 – 6	San Jose Sharks	Price	17,496	36–22–9
March 6	Montreal	4 – 2	Phoenix Coyotes	Price	14,841	37–22–9
March 8	Montreal	5 – 2	Los Angeles Kings	Halak	18,118	38–22–9
March 9	Montreal	1 – 3	Anaheim Ducks	Price	17,174	38–23–9
March 11	New Jersey Devils	0 – 4	Montreal	Price	21,273	39–23–9
March 13	Ottawa Senators	3 – 0	Montreal	Price	21,273	39–24–9
March 15	New York Islanders	0 – 3	Montreal	Halak	21,273	40–24–9
March 18	St. Louis Blues	4 – 3	Montreal	Halak	21,273	40–24–10
March 20	Montreal	4 – 2	Boston Bruins	Price	17,565	41–24–10
March 22	Boston Bruins	2 – 3	Montreal	Price	21,273	42–24–10
March 24	Ottawa Senators	5 – 7	Montreal	Price	21,273	43–24–10
March 28	Montreal	4 – 3	Buffalo Sabres	Price	18,690	44–24–10
March 29	Montreal	2 – 4	Toronto Maple Leafs	Halak	19,584	44–25–10
