Building	Location	Height	Floors	Status
Richcraft - Dow Honda Site Tower I	Little Italy	m (ft)	48	Proposed
Richcraft - Dow Honda Site Tower II	Little Italy	m (ft)	48	Proposed
Claridge Icon	Little Italy	m (ft)	45	Approved
LeBreton Mews Tower A	Bayview Yards	m (ft)	32	Approved
Claridge - 1040 Somerset Street	Hintonburg	m (ft)	39	Proposed
LeBreton Mews Tower B	Bayview Yards	m (ft)	29	Approved
Soho Italia	Little Italy	m (ft)	36	Approved @ 30 Stories / Height Increase Proposed
The Rhombus	Mechanicsville	m (ft)	32	Approved
150 Elgin	Downtown	m (ft)	23	Under Construction
Claridge Plaza III	Sandy Hill	m (ft)	28	Under Construction
265 Laurier Avenue W	Downtown	m (ft)	19	Proposed
Claridge Plaza IV	Sandy Hill	m (ft)	28	Under Construction
Tribeca I	Centretown	m (ft)	27	Under Construction
Tribeca II	Centretown	m (ft)	27	Under Construction
Nepean Tower	Centretown	m (ft)	27	Approved
