Pick #	NFL Team	Player	Position	Pro Team	College
57	Tampa Bay Buccaneers	Alex Clark	DB	New Orleans Breakers	LSU
58	Houston Oilers	Lynn Madsen	DT	New Jersey Generals	Washington
59	New York Giants	Kirby Warren	RB	Los Angeles Express	Pacific
60	Philadelphia Eagles	Thomas Carter	LB	Oakland Invaders	San Diego State
61	Kansas City Chiefs	Garcia Lane	CB	Philadelphia Stars	Ohio State
62	San Diego Chargers	Clarence Collins	WR	New Jersey Generals	Illinois State
63	Atlanta Falcons	Dennis Woodberry	DB	Birmingham Stallions	Southern Arkansas
64	New York Jets	Turner Gill	QB	Montreal Concordes CFL	Nebraska
65	Cincinnati Bengals	Tom Kilkenny	LB	Chicago Blitz	Temple
66	Indianapolis Colts	Byron Smith	DT	Saskatchewan Roughriders CFL	California
67	Minnesota Vikings	David Howard	LB	Los Angeles Express	Long Beach State
68	Buffalo Bills	Don Corbin	OT	Pittsburgh Maulers	Kentucky
69	New Orleans Saints	Steve Dearden	LB	Memphis Showboats	Vanderbilt
70	New England Patriots	Walter Lewis	QB	Memphis Showboats	Alabama
71	Cleveland Browns (from Chicago Bears)	Doug West	LB	Jacksonville Bulls	UCLA
72	Green Bay Packers	John Sullivan	DB	Oakland Invaders	California
73	St. Louis Cardinals	Tim Riordan	QB	Philadelphia Stars	Temple
74	Detroit Lions	Doug Hollie	DE	Pittsburgh Maulers	SMU
75	Los Angeles Rams	Jim Byrne	NT	Philadelphia Stars	Wisconsin-LaCrosse
76	Seattle Seahawks	Frank Seurer	QB	Los Angeles Express	Kansas
77	Cleveland Browns	John Bond	QB	Saskatchewan Roughriders CFL	Mississippi State
78	Denver Broncos	Reggie Smith	OT	Tampa Bay Bandits	Kansas
79	Pittsburgh Steelers	Phil Boren	OT	Birmingham Stallions	Arkansas
80	San Francisco 49ers	Mark Schellen	RB	New Orleans Breakers	Nebraska
81	Dallas Cowboys	Jeff Spek	TE	New Jersey Generals	San Diego State
82	Miami Dolphins	Duan Hanks	WR	Philadelphia Stars	Stephen F. Austin
83	Washington Redskins	Clarence Verdin	WR	Houston Gamblers	Southwestern Louisiana
