Rank	Place	County	Per Capita Income	Median House- hold Income	Population	Number of Households
1	Hunting Valley	Cuyahoga and Geauga counties	$144,281	$200,000+	735	284
2	The Village of Indian Hill	Hamilton County	$96,872	$158,742	5907	2066
3	Kirtland Hills	Lake County	$78,896	$112,421	597	223
4	Gates Mills	Cuyahoga County	$74,732	$133,605	2493	925
5	Wetherington	Butler County	$73,684	$161,448	1010	363
6	Bratenahl	Cuyahoga County	$72,757	$76,028	1337	711
7	Bentleyville	Cuyahoga County	$73,392	$160,902	947	297
8	Moreland Hills	Cuyahoga County	$72,001	$113,977	3298	1286
9	Pepper Pike	Cuyahoga County	$71,255	$133,316	6040	2203
10	Hills and Dales	Stark County	$65,910	$108,257	260	107
11	New Albany	Franklin County	$62,131	$102,180	3711	1263
12	Waite Hill	Lake County	$61,408	$97,595	446	183
13	Ottawa Hills	Lucas County	$58,846	$100,000	4564	1696
14	Montrose-Ghent	Summit County	$56,423	$98,186	5261	1920
15	Amberley	Hamilton County	$51,225	$81,492	3425	1338
16	Riverlea	Franklin County	$49,374	$94,737	499	229
17	Sugar Bush Knolls	Portage County	$47,304	$129,555	227	79
18	Orange	Cuyahoga County	$46,296	$89,660	3236	1170
19	Powell	Delaware County	$46,257	$115,904	6247	1975
20	Montgomery	Hamilton County	$45,460	$89,224	10163	3616
21	Chagrin Falls	Cuyahoga County	$42,885	$62,917	4024	1862
22	Terrace Park	Hamilton County	$42,391	$95,530	2273	760
23	Upper Arlington	Franklin County	$42,025	$72,116	33686	13985
24	Evendale	Hamilton County	$41,734	$91,052	3090	1062
25	Oakwood	Montgomery County	$41,567	72,392	9215	3633
26	Shaker Heights	Cuyahoga County	$41,354	$63,983	29405	12220
27	Dublin	Delaware, Franklin, and Union counties	$41,122	$91,162	31392	11209
28	South Russell	Geauga County	$41,091	$94,714	4022	1364
29	Hudson	Summit County	$40,915	$99,156	22439	7357
30	Glendale	Hamilton County	$40,787	$75,113	2188	942
31	Beachwood	Cuyahoga County	$40,509	$65,406	12186	5074
32	Dry Run	Hamilton County	$39,552	$100,373	6553	2063
33	Granville	Licking County	$39,221	$67,689	3167	1309
34	Turpin Hills	Hamilton County	$39,094	$84,354	4960	1741
35	Five Points	Warren County	$38,505	$107,925	2191	740
36	Bainbridge	Geauga County	$38,229	$87,888	3417	1261
37	Wyoming	Hamilton County	$38,180	$88,241	8261	3047
38	Woodbourne-Hyde Park	Montgomery County	$38,052	$80,041	7910	2933
39	Brecksville	Cuyahoga County	$37,838	$76,159	13382	5033
40	Bexley	Franklin County	$37,375	$70,200	13203	4705
41	Westlake	Cuyahoga County	$37,142	$64,963	31719	12826
42	Boston Heights	Summit County	$36,960	$80,884	1186	392
43	Mayfield	Cuyahoga County	$36,360	$66,048	3435	1392
44	Meyers Lake	Stark County	$35,836	$48,942	565	308
45	Silver Lake	Summit County	$35,614	$70,875	3019	1235
46	Aurora	Portage County	$35,537	$70,998	13556	5047
47	Marble Cliff	Franklin County	$35,491	$49,904	646	291
48	Solon	Cuyahoga County	$35,394	$78,903	21802	7554
49	Bay Village	Cuyahoga County	$35,318	$70,397	16087	6239
50	Put-in-Bay	Ottawa County	$35,301	$52,917	128	67
51	Fairlawn	Summit County	$34,927	$62,180	7307	2986
52	Pigeon Creek	Summit County	$34,771	$73,750	945	322
53	Rocky River	Cuyahoga County	$34,663	$51,636	20735	9709
54	Worthington	Franklin County	$34,495	$68,568	14125	5692
55	Beckett Ridge	Butler County	$33,835	$80,090	8663	3107
56	Blue Ash	Hamilton County	$33,801	$61,591	12513	4990
57	Mariemont	Hamilton County	$32,897	$57,614	3408	1463
58	Richfield	Summit County	$32,888	$65,639	3286	1227
59	Landen	Warren County	$32,861	$67,562	12766	4905
60	Newtown	Hamilton County	$32,590	$50,980	2420	924
61	Kenwood	Hamilton County	$32,458	$53,300	7423	3305
62	Avon Lake	Lorain County	$32,336	$65,988	18145	6711
63	Kirtland	Lake County	$32,148	$65,422	6670	2445
64	Canfield	Mahoning County	$31,756	$59,434	7374	2917
65	White Oak West	Hamilton County	$31,418	$57,407	2932	1123
66	Springboro	Warren and Montgomery counties	$31,257	$72,316	12380	4261
67	Highland Heights	Cuyahoga County	$31,184	$69,750	8082	2779
68	Mack South	Hamilton County	$30,926	$80,144	5837	1919
69	Westfield Center	Medina County	$30,679	$69,821	1054	401
70	Madeira	Hamilton County	$30,676	$59,626	8923	3383
71	Choctaw Lake	Madison County	$30,624	$81,644	1562	581
72	Forestville	Hamilton County	$30,493	$57,850	10978	4368
73	Beavercreek	Greene County	$30,298	$68,801	37984	14071
74	Centerville	Montgomery County	$30,210	$54,892	23024	9996
75	Monfort Heights South	Hamilton County	$29,839	$57,481	4466	1670
76	Strongsville	Cuyahoga County	$29,722	$68,660	43858	16209
77	Perrysburg	Wood County	$29,652	$62,237	16945	6592
78	Minerva Park	Franklin County	$29,629	$63,875	1288	545
79	Enon	Clark County	$29,537	$58,966	2638	1118
80	Broadview Heights	Cuyahoga County	$29,440	$56,989	15967	6411
81	Westerville	Franklin and Delaware counties	$29,401	$69,135	35318	12663
82	Olde West Chester	Butler County	$29,342	$85,159	232	85
83	Ballville	Sandusky County	$29,272	$49,261	3255	1332
84	Mason	Warren County	$29,109	$65,968	22016	7789
85	Gahanna	Franklin County	$29,040	$66,031	32636	11990
