Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Sep 7, 1987	Rail Charity Golf Classic	–8 (69-74-67-69=279)	1 stroke	Nancy Lopez
Apr 24, 1988	USX Golf Classic	–13 (67-69-69-70=275)	Playoff	Kathy Postlewait
Aug 28, 1988	Nestle World Championship	–9 (70-69-66-74=279)	1 stroke	Liselotte Neumann
Sep 25, 1988	Santa Barbara Open	–4 (70-70-72=212)	3 strokes	Missie McGeorge
Jun 2, 1991	Rochester International	–12 (69-69-72-66=276)	2 strokes	Danielle Ammaccapane , Brandie Burton
Aug 30, 1995	Pinewild Women's Championship	–5 (72-70-69=211)	Playoff	Dottie Mochrie
May 26, 1996	LPGA Corning Classic	–12 (67-69-71-69=276)	2 strokes	Val Skinner
Jun 25, 1997	LPGA Corning Classic	–11 (72-69-71-65=277)	Playoff	Tammie Green
Jun 1, 1998	Wegmans Rochester International	–9 (74-69-64-72=279)	2 strokes	Juli Inkster
Aug 22, 1999	Firstar LPGA Classic	–9 (72-67-68=207)	Playoff	Becky Iverson , Jan Stephenson
Apr 29, 2001	Kathy Ireland Championship	–12 (66-67-68-67=268)	Playoff	Mi-Hyun Kim
Jul 22, 2001	Sybase Big Apple Classic	–12 (70-66-66-70=272)	1 stroke	Laura Diaz
May 11, 2003	Asahi Ryokuken International Championship	–15 (66-68-69-70=273)	3 strokes	Wendy Ward
