Year	Date	Home Team	Result	Visiting Team	Venue
2000	September 17	St. Louis Rams	41-24	San Francisco 49ers	Trans World Dome
2000	October 29	San Francisco 49ers	24-34	St. Louis Rams	Candlestick Park
2001	September 23	San Francisco 49ers	26-30	St. Louis Rams	Candlestick Park
2001	December 9	St. Louis Rams	27-14	San Francisco 49ers	Dome at America's Center
2002	October 6	San Francisco 49ers	37-13	St. Louis Rams	Candlestick Park
2002	December 30	St. Louis Rams	31-20	San Francisco 49ers	Edward Jones Dome
2003	September 14	St. Louis Rams	27-24 OT	San Francisco 49ers	Edward Jones Dome
2003	November 2	San Francisco 49ers	30-10	St. Louis Rams	Candlestick Park
2004	October 3	San Francisco 49ers	14-24	St. Louis Rams	Candlestick Park
2004	December 5	St. Louis Rams	16-6	San Francisco 49ers	Edward Jones Dome
2005	September 11	San Francisco 49ers	28-25	St. Louis Rams	Candlestick Park
2005	December 24	St. Louis Rams	20-24	San Francisco 49ers	Edward Jones Dome
2006	September 17	San Francisco 49ers	20-13	St. Louis Rams	Candlestick Park
2006	November 26	St. Louis Rams	20-17	San Francisco 49ers	Edward Jones Dome
2007	September 16	St. Louis Rams	16-17	San Francisco 49ers	Edward Jones Dome
2007	November 18	San Francisco 49ers	9-13	St. Louis Rams	Candlestick Park
2008	November 16	San Francisco 49ers	35-16	St. Louis Rams	Candlestick Park
2008	December 21	St. Louis Rams	16-17	San Francisco 49ers	Edward Jones Dome
2009	October 4	San Francisco 49ers	35-0	St. Louis Rams	Candlestick Park
2009	January 3	St. Louis Rams	6-28	San Francisco 49ers	Edward Jones Dome
