Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Jake Gardiner	(D)	United States	Minnetonka High School ( USHS-Minnesota )
2	Nicolas Deschamps	(C)	Canada	Chicoutimi Saguenéens ( QMJHL )
2	Eric O'Dell	(C)	Canada	Sudbury Wolves ( OHL )
2	Justin Schultz	(D)	Canada	Westside Warriors ( BCHL )
3	Josh Brittain	(LW)	Canada	Kingston Frontenacs ( OHL )
3	Marco Cousineau	(G)	Canada	Baie-Comeau Drakkar ( QMJHL )
3	Brandon McMillan	(C)	Canada	Kelowna Rockets ( WHL )
4	Ryan Hegarty	(D)	United States	US National Team Development Program U-18
5	Stefan Warg	(D)	Sweden	VIK Västerås HK ( Sweden Jr. )
7	Nick Pryor	(D)	United States	US National Team Development Program U-18
