Round	Pick	Player	Position	School/Club Team
1	9	Urban Odson	Tackle	Minnesota
3	24	Ray Frankowski	Guard	Washington
5	39	Bill Green	Back	Iowa
6	49	Joe Krivonak	Guard	South Carolina
7	59	Preston Johnston	Back	SMU
8	69	Joe Rogers	End	Michigan
9	79	Noah Langdale	Tackle	Alabama
10	89	Gene Flick	Center	Minnesota
11	99	Tom Farris	Back	Wisconsin
12	109	Jimmy Richardson	Back	Marquette
13	119	Bruce Smith	Halfback	Minnesota
14	129	Bill Applegate	Guard	South Carolina
15	139	Jim Trimble	Tackle	Indiana
16	149	Tom Kinkade	Back	Ohio State
17	159	Fred Preston	End	Nebraska
18	169	Robert Ingalls	Center	Michigan
19	179	George Benson	Back	Northwestern
20	189	Horace Young	Back	SMU
21	194	Henry Woronicz	End	Boston College
22	199	Woody Adams	Tackle	TCU
