Game	Date	Opponent	Score	Location	Record
25	December 1	Boston Celtics	99–105	Philadelphia Spectrum	2–23
26	December 2	@ Boston Celtics	120–131	Philadelphia Spectrum	2–24
27	December 6	Kansas City-Omaha Kings	122–117	Philadelphia Spectrum	3–24
28	December 7	N Phoenix Suns	102–117	(Pittsburgh, PA)	3–25
29	December 8	Chicago Bulls	102–118	Philadelphia Spectrum	3–26
30	December 9	@ New York Knicks	109–120	Madison Square Garden	3–27
31	December 12	@ Baltimore Bullets	102–123	Baltimore Civic Center)	3–28
32	December 13	Los Angeles Lakers	90–128	Philadelphia Spectrum	3–29
33	December 16	Buffalo Braves	103–126	Philadelphia Spectrum	3–30
34	December 20	@ Detroit Pistons	113–141	Cobo Hall	3–31
35	December 22	@ Houston Rockets	103–116	Hofheinz Pavilion	3–32
36	December 23	@ Atlanta Hawks	112–124	Omni Coliseum	3–33
37	December 27	N Atlanta Hawks	120–121	(Pittsburgh, PA)	3–34
38	December 30	N Boston Celtics	107–117	(Providence, RI)	3–35
