Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Alpan Fluctus	7.5S	349.0E	500.0	1997	Lezghin (Daghestan) fire goddess.
Argimpasa Fluctus	0.0N	175.5E	950.0	1997	Scythian goddess of love.
Arubani Fluctus	55.0S	132.0E	620.0	1997	Urartu supreme goddess.
Bolotnitsa Fluctus	50.0N	160.0E	1,100.0	1997	E. Slavic swamp mermaid.
Darago Fluctus	11.5S	313.5E	775.0	1994	Philippine volcano goddess.
Djabran Fluctus	43.5S	183.0E	300.0	1997	Abkhazian goddess of goats.
Djata Fluctus	66.5N	307.5E	280.0	1997	Ngadju (Kalimantan Isl., Indonesia) water goddess.
Dotetem Fluctus	6.0S	177.5E	530.0	1997	Ketian (Yenisey R.) evil spirit.
Eriu Fluctus	37.0S	357.0E	600.0	1991	Irish earth mother.
Heloha Fluctus	77.0 N	344.0 E	375.0	2009	Chocktaw thunderbird
Henwen Fluctus	20.5S	179.9E	485.0	1994	British Celtic sow-goddess.
Hikuleo Fluctus	52.5N	208.0E	600.0	1997	Tonga (Polynesia) underworld goddess.
Ilaheva Fluctus	42.5S	84.0E	900.0	2000	Tonga (Polynesia) worm goddess.
Itoki Fluctus	6.0S	229.0E	900.0	2003	Nicaraguan goddess of insects, stars, and planets.
Kaapaau Fluctus	66.5S	181.0E	350.0	2000	Polynesian goddess of sharks.
Kaiwan Fluctus	45.5S	358.0E	1,200.0	1991	Ethiopian earth mother.
Koti Fluctus	12.5N	318.0E	400.0	1997	Creek (SE USA) water-frog, helpful spirit.
Mamapacha Fluctus	60.0N	185.0E	900.0	1997	Inca earthquake goddess.
Medb Fluctus	56.0S	127.0E	350.0	1997	Irish mother of gods, wife of Ailil.
Merisa Fluctus	20.5N	9.0E	630.0	2000	Adygan (N. Caucasus) beekeeping goddess.
Mert Fluctus	50.5S	230.5E	250.0	2000	Egyptian goddess of music and singing.
Mylitta Fluctus	54.0S	355.5E	1,250.0	1991	Semitic mother goddess.
Nambubi Fluctus	61.0S	135.0E	850.0	1997	Ganda goddess, mother of god Mukasa.
Naunet Fluctus	81.0S	136.0E	200.0	2000	Ancient Egyptian (Heliopolis) sky goddess.
Neago Fluctu-s	49.3N	351.0E	0.0	1991	Seneca (USA) goddess of silence.
Nekhebet Fluctus	0.0N	35.0E	400.0	1997	Egyptian vulture goddess.
Ney-Anki Fluctus	37.0S	105.0E	950.0	2000	Khanty (Ob River Ugra) mother of fire.
Ningyo Fluctus	5.5S	206.0E	970.0	1994	Japanese fish goddess.
Oilule Fluctus	22.0S	79.0E	900.0	2000	West Bulgarian wife of thunder god.
Ovda Fluctus	6.1S	95.5E	310.0	1994	Named from regio where feature is located.
Praurime Fluctus	16.0N	154.0E	750.0	1997	Lithuanian fire goddess.
Rafara Fluctus	65.0S	159.0E	700.0	1997	Malagasy (Madagascar) water goddess.
Sicasica Fluctus	52.0S	180.4E	175.0	1994	Aymara (Bolivia) mountain goddess.
Sonmunde Fluctus	60.0S	120.0E	400.0	1997	Korean mountain goddess.
Strenia Fluctus	41.0N	250.0E	490.0	1997	Roman goddess of New Year festivities.
Syvne Fluctus	36.0S	72.0E	900.0	2000	Nenets (Samoyed) winter maiden.
Tie Fluctus	21.0N	159.0E	550.0	2003	Egyptian goddess of intelligence and wisdom.
Tsunghi Fluctus	67.0S	130.0E	800.0	1997	Hibaro (Ecuador) water goddess.
Turgmam Fluctus	56.0N	220.0E	500.0	1997	Nivkhi (Sakhalin Isl.) fire mistress.
Ubastet Fluctus	48.0S	27.0E	550.0	1997	Egyptian cat goddess.
Uilata Fluctus	17.0N	314.0E	700.0	1997	Cherokee stone-clad female monster.
Uzume Fluctus	28.6N	220.3E	700.0	1997	Japanese goddess of cheerfulness.
Vut-Ami Fluctus	38.0S	67.0E	1,300.0	2000	Chuvash (Volga Region) fire goddess.
Yagami Fluctus	80.6S	152.0E	260.0	2000	Japanese goddess, bride of god O-kuninusi.
