Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	11	Tony Kanaan	Andretti Green	200	1:38:21.7078	1	131	50+3
2	9	Scott Dixon	Target Chip Ganassi	200	+1.7457	4	4	40
3	22	A. J. Foyt IV	Vision Racing	200	+2.1070	10	13	35
4	26	Marco Andretti	Andretti Green	200	+2.2998	15	0	32
5	2	Tomas Scheckter	Vision Racing	200	+2.3660	6	0	30
6	8	Scott Sharp	Rahal Letterman	200	+2.6491	3	0	28
7	20	Ed Carpenter	Vision Racing	200	+2.8150	9	0	26
8	27	Dario Franchitti	Andretti Green	200	+6.2839	2	52	24
9	3	Hélio Castroneves	Team Penske	199	+1 Lap	13	0	22
10	4	Vitor Meira	Panther Racing	199	+1 Lap	12	0	20
11	55	Kosuke Matsuura	Panther Racing	199	+1 Lap	17	0	19
12	15	Buddy Rice	Dreyer & Reinbold Racing	199	+1 Lap	16	0	18
13	14	Darren Manning	A.J. Foyt Racing	198	+2 Laps	18	0	17
14	5	Sarah Fisher	Dreyer & Reinbold Racing	197	+3 Laps	14	0	16
15	17	Ryan Hunter-Reay	Rahal Letterman	183	+17 Laps	8	0	15
16	7	Danica Patrick	Andretti Green	180	Accident	11	0	14
17	10	Dan Wheldon	Target Chip Ganassi	37	Collision	5	0	13
18	6	Sam Hornish, Jr.	Team Penske	35	Collision	7	0	12
Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers	Lead changes: 11 between 4 drivers
