Type	Model	Tuner	Host Interface	Digital
Digital Terrestrial	DEC2000-t	Philips	USB 1.x TMX320AV7111	DVB-T (TDA10045)
Digital Terrestrial	DEC2540-t	Philips	USB 1.x TMX320AV7111	DVB-T (TDA10045)
Digital Terrestrial	Nova-t PCI	Grundig	PCI SAA7134	DVB-T (LSI L64781)
Digital Terrestrial	Nova-t PCI	Philips	PCI SAA7134	DVB-T (TDA10045)
Digital Terrestrial	Nova-t PCI (90002)	Thomson DTT7592	PCI CX2388x	DVB-T (CX22702)
Digital Terrestrial	Nova-t PCI (90003)	Thomson DTT75105	PCI CX2388x	DVB-T (CX22702)
Digital Terrestrial	Nova-t USB	Philips	USB 1.x	DVB-T (CX22702)
Digital Terrestrial	Nova-t USB2	Panasonic ENV57H	USB 2.0 Cypress FX2	DVB-T (DIB3000-P)
Digital Terrestrial	Nova-t Stick (70001)	Microtune MT2060	USB 2.0	DVB-T (DIB7000-M)
Digital Terrestrial	Nova-t Stick (70009)	Microtune MT2060	USB 2.0	DVB-T (DIB7700-P)
Digital Terrestrial	Nova-TD-Stick	2× MicroTune MT2266	USB 2.0	DVB-T (DIB7700-P)
Digital Terrestrial	Nova-t 500	2× Microtune MT2060	PCI VT6212L	2× DVB-T (DIB3000-P)
Digital Terrestrial	Nova-TD 500	2× Microtune ????	PCI DiB0710	2× DVB-T (DIB7070-P) ??
Digital Satellite	DEC3000-s	Unknown	USB 1.x TMX320AV7111	DVB-S
Digital Satellite	Nexus-s v2.3	Alps BSBE1-502A	PCI SAA7146 TMX320AV7111	DVB-S (STV0299)
Digital Satellite	Nova-s PCI	Alps BSBE1-502A	PCI SAA7146	DVB-S (STV0299)
Digital Satellite	Nova-s SE PCI	Unknown	PCI SAA7146	DVB-S (TDA8260)
Digital Satellite	Nova-s USB	Unknown	USB 1.x	DVB-S
Digital Satellite	Nova-SE2	Unknown	PCI CX2388x	DVB-S (CX24123)
Digital Satellite	Nova-S-Plus	Unknown	PCI CX2388x	DVB-S (CX24123)
Hybrid Video Recorder	HVR-900	Xceive XC3028	USB 2.0 EM2881	DVB-T (ZL10353)
Hybrid Video Recorder	HVR-900 (Rev B2 & C2)	Xceive XC3028	USB 2.0 EM2883	DVB-T (DRX3975D)
Hybrid Video Recorder	HVR-930	Xceive XC3028	USB 2.0 EM2881	DVB-T (ZL10353)
Hybrid Video Recorder	HVR-930 (Rev B2)	Xceive XC3028	USB 2.0 EM2883	DVB-T (DRX3975D)
Hybrid Video Recorder	HVR-950	Xceive XC3028	USB 2.0	ATSC
Hybrid Video Recorder	HVR-1100	Philips FMD1216ME	PCI CX2388x	DVB-T (CX22702)
Hybrid Video Recorder	HVR-1110	Philips 8275A	PCI SAA7134	DVB-T (TDA10046a)
Hybrid Video Recorder	HVR-1300	Philips FMD1216ME	PCI CX2388x	DVB-T (CX22702)
Hybrid Video Recorder	HVR-1600	Analog TCL Series	PCI CX2388x	ATSC (CX24227)
Hybrid Video Recorder	HVR-1800	Analog TCL Series	PCI-e	ATSC / Clear QAM
Hybrid Video Recorder	HVR-2200	2× Philips TDAxxxx	PCIe SAA7164	DVB-T (2× TDA10048HN)
Hybrid Video Recorder	HVR-3000	Philips FMD1216ME	PCI CX2388x	DVB-T (CX22702) DVB-S (CX24123)
Hybrid Video Recorder	HVR-4000	Philips FMD1216ME	PCI CX2388x	DVB-T (CX22702) DVB-S2 (CX24116)
Personal Video Recorder	PVR PCI	Various	PCI Fusion 878A	No
Personal Video Recorder	PVR USB	Various	USB 1.x	No
Personal Video Recorder	PVR-150	Various	PCI CX2584x	No
Personal Video Recorder	PVR-160	Various	PCI CX2388x	No
Personal Video Recorder	PVR-250	Various	PCI SAA7115	No
Personal Video Recorder	PVR-350	Various	PCI SAA7115	No
Personal Video Recorder	PVR-500MCE	Various	PCI PLX FastLane 6140	No
Personal Video Recorder	PVR-USB2	Various	USB 2.0 SAA7115	No
Personal Video Recorder	PVR-USB2+	Various	USB 2.0 Cypress FX2	No
High-Definition Personal Video Recorder	HD-PVR	Not Applicable	USB 2.0	No
WinTV Analog	WinTV Express	Various	PCI BT878A	No
WinTV Analog	WinTV Go	Various	PCI Fusion 878A	No
WinTV Analog	WinTV Go+	Various	PCI Fusion 878A	No
WinTV Analog	WinTV Go2	Various	PCI CX2388x	No
WinTV Analog	WinTV Primio FM	Various	PCI CX2388x	No
WinTV Analog	WinTV PCI-FM	Various	PCI CX2388x	No
WinTV Analog	WinTV Radio	Various	PCI BT878A	No
WinTV Analog	WinTV USB	Various	USB 1.x	No
WinTV Analog	WinTV USB Live	Various	USB 1.x	No
WinTV Analog	WinTV USB2	Various	USB 2.0 EM2840	No
