Game	Date	Opponent	Score	Location	Attendance	Record	Points
62	March 2	Carolina Hurricanes	1–5	Air Canada Centre	19096	19–32–11	49
63	March 4	@ Boston Bruins	2–3 (SO)	TD Garden	17565	19–32–12	50
64	March 6	@ Ottawa Senators	2–1 (SO)	Scotiabank Place	20036	20–32–12	52
65	March 7	@ Philadelphia Flyers	1–3	Wachovia Center	19632	20–33–12	52
66	March 9	Boston Bruins	4–3 (OT)	Air Canada Centre	19499	21–33–12	54
67	March 11	Tampa Bay Lightning	4–3 (OT)	Air Canada Centre	19110	22–33–12	56
68	March 13	Edmonton Oilers	6–4	Air Canada Centre	19243	23–33–12	58
69	March 14	@ New York Islanders	1–4	Nassau Veterans Memorial Coliseum	12804	23–34–12	58
70	March 16	@ Ottawa Senators	4–1	Scotiabank Place	20405	24–34–12	60
71	March 18	New Jersey Devils	2–1 (SO)	Air Canada Centre	19183	25–34–12	62
72	March 20	Montreal Canadiens	3–2 (SO)	Air Canada Centre	19538	26–34–12	64
73	March 23	Florida Panthers	1–4	Air Canada Centre	19158	26–35–12	64
74	March 25	@ Atlanta Thrashers	2–1 (OT)	Philips Arena	14148	27–35–12	66
75	March 27	New York Rangers	3–2 (OT)	Air Canada Centre	19405	28–35–12	68
76	March 28	@ Pittsburgh Penguins	4–5 (SO)	Mellon Arena	17104	28–35–13	69
