Date	Label	Format	Country	Catalog
February 6, 1967	Columbia	LP	US	CL 2642
February 6, 1967	Columbia	LP	US	CS 9442
April 7, 1967	CBS	LP	UK	BPG 62988
April 7, 1967	CBS	LP	UK	SBPG 62988
1987	Edsel	LP	UK	ED 227
1987	Edsel	CD	UK	EDCD 227
1989	Columbia	CD	US	CK 9442
1993	Columbia	CD	UK	COL 468181
April 30, 1996	Columbia/Legacy	CD	US	CK 64848
May 6, 1996	Columbia/Legacy	CD	UK	COL 4837082
1999	Simply Vinyl	LP	UK	SVLP 0007
1999	Sundazed	LP	US	LP 5060
2003	Sony	CD	Japan	MHCP-69
2006	Sundazed	LP	US	LP 5200
March 22, 2011	Audio Fidelity	CD	US	AFZ110
May 30, 2012	Sony Music Entertainment	CD	Japan	SICP-20375
