Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	13	0	52
Tevita Vaikona	Wing	20	0	80
Leon Pryce	Centre	21	0	84
Shontayne Hape	Centre	16	0	64
Lesley Vainikolo	Wing	26	0	104
Michael Withers	Fullback	2	0	8
Paul Deacon	Scrum Half	10	173	389
Joe Vagana	Prop	5	0	20
James Lowes	Hooker	10	2	44
Paul Anderson	Prop	5	0	20
Daniel Gartner	Second Row	8	0	32
Jamie Peacock	Second Row	4	0	16
Mike Forshaw	Loose Forward	6	0	24
Lee Gilmour	Centre	5	0	20
Karl Pratt	Stand Off	9	0	36
Alex Wilkinson	Wing	0	0	0
Stuart Reardon	Fullback	5	0	20
Lee Radford	Prop	10	12	64
Jamie Langley	Loose Forward	2	0	8
Scott Naylor	Centre	9	0	36
Karl Pryce	Wing	0	0	0
Vinny Myler	Prop	0	0	0
Chris Bridge	Centre	0	0	0
Rob Parker	Prop	6	0	24
Stuart Fielden	Prop	1	0	4
Richard Moore	Wing	0	0	0
