Conference	# of Bids	Record	Win %	Round of 32	Sweet Sixteen	Elite Eight	Final Four	Championship Game
Southeastern	7	15–7	.682	6	4	2	2	1
Pacific-10	5	7–5	.583	3	2	1	1	–
Atlantic Coast	4	8–4	.667	4	3	1	–	–
Big Ten	4	5–4	.556	3	1	1	–	–
Big Eight	4	4–4	.500	2	1	1	–	–
Metro	4	2–4	.333	2	–	–	–	–
Great Midwest	3	1–3	.250	1	–	–	–	–
Big East	2	7–1	.875	2	1	1	1	1
Southwest	2	4–2	.667	2	1	1	–	–
Sun Belt	2	4–2	.667	2	2	–	–	–
Atlantic 10	2	2–2	.500	1	1	–	–	–
Missouri Valley	2	2–2	.500	2	–	–	–	–
Mid-American	2	0–2	–	–	–	–	–	–
West Coast	2	0–2	–	–	–	–	–	–
Western Athletic	2	0–2	–	–	–	–	–	–
Big Sky	1	1–1	.500	1	–	–	–	–
Trans America	1	1–1	.500	1	–	–	–	–
