Week	Date	Opponent	Result	Venue	Attendance
1	September 21, 1975	Detroit Lions	L 30-16	Milwaukee County Stadium	52,613
2	September 29, 1975	at Denver Broncos	L 23-13	Mile High Stadium	52,621
3	October 5, 1975	Miami Dolphins	L 31-7	Lambeau Field	56,267
4	October 12, 1975	at New Orleans Saints	L 20-19	Louisiana Superdome	51,371
5	October 19, 1975	at Dallas Cowboys	W 19-17	Texas Stadium	64,189
6	October 26, 1975	Pittsburgh Steelers	L 16-13	Milwaukee County Stadium	52,815
7	November 2, 1975	Minnesota Vikings	L 28-17	Lambeau Field	56,267
8	November 9, 1975	at Chicago Bears	L 27-14	Soldier Field	48,738
9	November 16, 1975	at Detroit Lions	L 13-10	Pontiac Silverdome	76,946
10	November 23, 1975	New York Giants	W 40-14	Milwaukee County Stadium	50,150
11	November 30, 1975	Chicago Bears	W 28-7	Lambeau Field	56,267
12	December 7, 1975	at Minnesota Vikings	L 24-3	Metropolitan Stadium	46,147
13	December 14, 1975	at Los Angeles Rams	L 22-5	Los Angeles Memorial Coliseum	66,496
14	December 21, 1975	Atlanta Falcons	W 22-13	Lambeau Field	56,267
