Payee	Purpose	Amount (millions)	Signatories	Date signed
Anglo Leasing	Forensic LAB – CID	US$54.56	PS-Treasury PS-Internal Security OP	16 August 2001
Silverson Establishment	Security Vehicles	US$90	PS-Treasury PS-Internal Security OP	16 August 2001
Apex Finance	Police Security	US$30	PS-Treasury PS-Internal Security OP	9 February 2002
LBA Systems	Security-MET	US$25	PS-Treasury	7 June 2002
Apex Finance	Police Security	US$21.8	PS-Treasury PS-Internal Security OP	14 June 2002
Universal Satspace	Satellite Services	US$28.11	PS-Treasury PS-Transport	11 July 2002
First Mechantile	Police Security	US$21.8	PS-Treasury PS-Transport	11 July 2002
Apex Finance Corp	Police Security	US$22.8	PS-Treasury PS-Internal Security OP	12 July 2002
LBA Systems	Prison security	US$29.7	PS-Treasury	19 November 2002
Nedemar	Security	US$26.9	PS-Treasury PS-Transport	19 November 2002
Midland Bank	Police security	US$29.65	PS-Treasury	29 May 2003
Naviga Capital	Oceanographic vessel	EUR 26.6	PS-Treasury	15 July 2003
Empressa	Oceanographic vessel	EUR 15	PS-Treasury	15 July 2003
Euromarine	Oceanographic vessel	EUR 10.4	PS-Treasury	15 July 2003
Infotalent	Police security	EUR 59.7	PS-Treasury PS-Internal Security OP	19 November 2003
Apex Finance Corp	Police security	EUR 40	PS-Treasury PS-Internal Security OP	17 December 2003
Ciaria Systems Inc	Design, maintain satellite NSIS	US$24.56	PS Treasury Director NSIS	20 January 2004
