Player	Number Of Selections	First Team	Second Team	Season MVP	Final Four MVP
Juan Carlos Navarro	7	5	2	1	1
Vassilis Spanoulis	5	2	3	1	3
Nikola Vujčić	5	3	2	0	0
Dimitris Diamantidis	4	4	0	1	2
Theo Papaloukas	4	2	2	1	1
Ramūnas Šiškauskas	4	1	3	1	0
Dejan Bodiroga	3	3	0	0	2
Trajan Langdon	3	2	1	0	1
Miloš Teodosić	3	1	2	1	0
Luis Scola	3	2	1	0	0
Alphonso Ford	3	2	1	0	0
Erazem Lorbek	3	1	2	0	0
Tiago Splitter	3	1	2	0	0
Marcus Brown	3	1	2	0	0
Mirsad Türkcan	3	1	2	0	0
Anthony Parker	2	2	0	2	1
Šarūnas Jasikevičius	2	2	0	0	1
Tyus Edney	2	2	0	0	1
Nenad Krstić	2	2	0	0	0
Dejan Tomašević	2	2	0	0	0
Terrell McIntyre	2	2	0	0	0
Viktor Khryapa	2	1	1	0	0
Mike Batiste	2	1	1	0	0
Nikola Peković	2	1	1	0	0
Jorge Garbajosa	2	1	1	0	0
Igor Rakočević	2	1	1	0	0
Bo McCalebb	2	0	2	0	0
Kšyštof Lavrinovič	2	0	2	0	0
Pablo Prigioni	2	0	2	0	0
Andrés Nocioni	2	0	2	0	0
