Week	Date	Opponent	Result	Attendance
1	September 3, 1978	Minnesota Vikings	W 31-24	54,187
2	September 10, 1978	at Green Bay Packers	L 28-17	54,336
3	September 17, 1978	Philadelphia Eagles	L 24-17	49,242
4	September 24, 1978	at Cincinnati Bengals	W 20-18	40,455
5	October 1, 1978	Los Angeles Rams	L 26-20	61,659
6	October 8, 1978	Cleveland Browns	L 24-16	50,158
7	October 15, 1978	at San Francisco 49ers	W 14-7	37,671
8	October 22, 1978	at Los Angeles Rams	W 10-3	47,574
9	October 29, 1978	New York Giants	W 28-17	59,807
10	November 5, 1978	at Pittsburgh Steelers	L 20-14	48,526
11	November 12, 1978	Atlanta Falcons	L 20-17	70,323
12	November 19, 1978	at Dallas Cowboys	L 27-7	57,920
13	November 26, 1978	at Atlanta Falcons	L 20-17	55,121
14	December 3, 1978	San Francisco 49ers	W 24-13	50,068
15	December 10, 1978	Houston Oilers	L 17-12	63,169
16	December 17, 1978	at Tampa Bay Buccaneers	W 17-10	51,207
