Game #	Date	Visitor	Score	Home	Record	Points
65	March 3	Minnesota	3 - 1	Toronto	33-22-9	75
66	March 5	Toronto	1 - 5	Detroit	33-23-9	75
67	March 6	Winnipeg	4 - 2	Toronto	34-23-9	77
68	March 9	Toronto	1 - 3	Washington	34-24-9	77
68	March 10	Hartford	5 - 3	Toronto	35-24-9	79
69	March 12	Tampa Bay	8 - 2	Toronto	36-24-9	81
70	March 15	Toronto	2 - 4	Quebec	36-25-9	81
71	March 18	Toronto	4 - 2	Tampa Bay	37-25-9	83
72	March 20	Edmonton	4 - 2	Toronto	38-25-9	85
73	March 23	Toronto	5 - 4	Winnipeg	39-25-9	87
74	March 25	Toronto	3 - 3	Minnesota	39-25-10	88
75	March 27	Toronto	6 - 2	Edmonton	40-25-10	90
76	March 28	Toronto	4 - 0	Calgary	41-25-10	92
77	March 31	Los Angeles	5 - 5	Toronto	41-25-11	93
