African rank	World rank	Nation	GDP per capita	Total GDP world rank
1	41	Equatorial Guinea	$16,507	113
2	54	Mauritius	$13,029	120
3	57	Seychelles	$12,135	172
4	62	South Africa	$11,035	21
5	63	Libya	$11,354	67
6	64	Botswana	$10,866	116
7	75	Tunisia	$8,223	62
8	87	Algeria	$7,095	38
9	89	Gabon	$6,977	138
10	91	Namibia	$6,658	128
11	93	Cape Verde	$6,287	161
12	100	Morocco	$5,765	53
13	105	Swaziland	$5,181	148
14	115	Egypt	$4,282	32
15	129	Angola	$2,829	79
16	133	Ghana	$2,601	73
17	136	Sudan	$2,417	60
18	138	Zimbabwe	$2,413	98
19	139	Mauritania	$2,307	146
20	140	Cameroon	$2,284	82
21	142	Lesotho	$2,163	152
22	148	The Gambia	$1,999	160
23	150	Guinea	$1,986	113
24	151	Djibouti	$1,957	168
25	153	Senegal	$1,914	111
26	155	Uganda	$1,817	75
27	156	Chad	$1,744	125
28	157	Comoros	$1,717	171
29	158	São Tomé and Príncipe	$1,638	187
30	161	Togo	$1,600	140
31	162	Côte d'Ivoire	$1,475	97
32	164	Rwanda	$1,431	131
33	167	Republic of the Congo	$1,379	156
34	169	Mozambique	$1,335	101
35	170	Burkina Faso	$1,326	117
36	171	Nigeria	$1,188	46
37	172	Central African Republic	$1,163	154
38	173	Benin	$1,147	142
39	174	Kenya	$1,125	88
40	176	Mali	$1,084	129
41	177	Eritrea	$917	158
42	178	Zambia	$911	136
43	179	Madagascar	$911	119
44	180	Sierra Leone	$901	153
45	181	Liberia	$900	163
46	182	Niger	$896	134
47	183	Ethiopia	$859	69
48	184	Guinea-Bissau	$856	169
49	186	Burundi	$753	149
50	188	Tanzania	$720	99
51	189	Democratic Republic of the Congo	$675	83
52	190	Somalia	$600	157
