Number	Name	Position	Matches	Goals	Penalties
1	Desirée Schumann	GK	17	0	0
3	Monique Kerschowski	MF	1	0	0
5	Babett Peter	DF	17	5	1
6	Essi Sainio	MF	18	2	0
7	Isabell Kerschowski	FW	21	2	0
8	Aferdita Kameraj	DF	22	0	0
9	Jessica Wich	FW	22	13	0
10	Anna Bornhoff	FW	3	0	0
11	Franziska Hagemann	MF	4	1	0
13	Laura Brosius	DF	11	0	0
14	Jennifer Zietz	MF	20	8	1
15	Aferdita Podvorica	FW	2	0	0
17	Lea Notthoff	MF	0	0	0
18	Gaëlle Thalmann	GK	3	0	0
20	Bianca Schmidt	FW	22	3	0
21	Peggy Kuznik	MF	2	0	0
22	Stefanie Draws	DF	11	0	0
23	Josefine Schlanke	DF	5	0	0
25	Nadine Angerer	3	0	0	0
26	Leni Larsen Kaurin	MF	12	2	0
27	Jennifer Werth	GK	1	0	0
29	Pia Marxkord	DF	16	0	0
31	Anja Mittag	FW	20	9	0
33	Carolin Schiewe	MF	20	3	0
