Season	Competition	Round	Against	Played	Drew	Lost	Goals for	Goals against
1961-62	Inter-Cities Fairs Cup	Quarter finals	Red Star Belgrade	6	0	2	10	9
1962-63	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1963-64	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1964-65	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1965-66	Inter-Cities Fairs Cup	Quarter finals	FC Barcelona	8	0	4	13	13
1966-67	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1967-68	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1968-69	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1969-70	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1970-71	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1971-72	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1972-73	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1973-74	UEFA Cup	Last 64	R.W.D. Molenbeek	2	0	1	2	4
1974-75	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1975-76	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1976-77	UEFA Cup	Last 16	Feyenoord	6	0	4	7	8
1977-78	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1978-79	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1979-80	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1980-81	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1981-82	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1982-83	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1983-84	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1984-85	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1985-86	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1986-87	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1987-88	UEFA Cup	Final	Bayer Leverkusen	12	3	2	17	7
1988-89	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1989-80	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1990-91	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1991-92	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1992-93	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1993-94	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1994-95	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1995-96	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1996-97	UEFA Cup	Last 32	Feyenoord	4	1	2	4	5
1997-98	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1998-99	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
1999-00	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions	Did Not Qualify For UEFA Competitions
2000-01	UEFA Cup	Last 32	F.C. Porto	6	1	3	7	5
