Round	Pick #	Overall	Name	Position	College
1	6	6	Warren Bryant	Offensive Tackle	Kentucky
1	20	20	Wilson Faumuina	Defensive Tackle	San José State
2	8	36	R. C. Thielemann	Guard	Arkansas
4	6	90	Allan Leavitt	Kicker	Georgia
5	8	120	Shelton Diggs	Wide Receiver	USC
6	22	161	Keith Jenkins	Defensive Back	Cincinnati
8	8	203	Walter Packer	Wide Receiver	Mississippi State
9	7	230	John Maxwell	Offensive Tackle	Boston College
9	19	242	Robert Speer	Defensive End	Arkansas State
10	6	257	Billy Ryckman	Wide Receiver	Louisiana Tech
11	8	287	Dave Farmer	Running Back	USC
12	7	312	Don Parrish	Defensive Tackle	Pittsburgh
