Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 6	Rough Riders	Exhibition Stadium	L 17–14	28041	0–1–0
2	August 13	Tiger-Cats	Exhibition Stadium	L 17–7	27190	0–2–0
3	August 18	@ Alouettes	Molson Stadium	L 20–0	18000	0–3–0
4	August 29	@ Lions	Empire Stadium	L 36–1	30855	0–4–0
4	August 31	@ Eskimos	Clarke Stadium	L 23–21	16745	0–5–0
5	September 5	@ Rough Riders	Landsdowne Park	L 41–21	17303	0–6–0
6	September 10	Roughriders	Exhibition Stadium	L 28–9	20497	0–7–0
7	September 19	Tiger-Cats	Exhibition Stadium	L 33–0	22854	0–8–0
8	September 26	Blue Bombers	Exhibition Stadium	W 24–22	17364	1–8–0
9	October 3	@ Alouettes	Molson Stadium	L 25–8	17000	1–9–0
10	October 8	Stampeders	Exhibition Stadium	L 27–26	16711	1–10–0
11	October 16	Alouettes	Exhibition Stadium	W 24–21	18693	2–10–0
12	October 24	@ Rough Riders	Landsdowne Park	W 17–15	13487	3–10–0
