Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Armstrong	FW	4	0	0	0	0	0	4	0
Steve Baines	DF	43 (1)	5	2	0	4	1	49 (1)	6
Mick Butler	MF	23 (3)	3	0	0	3	1	26 (3)	4
Bobby Campbell	FW	19 (1)	8	0	0	0	0	19 (1)	8
Paul Cooper	DF	2	0	0	0	0	0	2	0
Terry Eccles	FW	17	3	0	0	0	0	17	3
Franny Firth	FW	8	2	0	0	4	0	12	2
Martin Fowler	MF	36 (3)	1	2	0	4	0	42 (3)	1
Paul Gartland	DF	3	0	0	0	0	0	3	0
John Gilligan	MF	0 (1)	0	0	0	0	0	0 (1)	0
Wayne Goldthorpe	FW	5 (2)	2	1	0	1	0	7 (2)	2
Terry Gray	FW	17 (1)	6	0	0	0	0	17 (1)	6
Neil Hague	DF	25	2	1	0	4	0	30	2
Peter Hart	MF	44	1	2	0	4	0	50	1
Peter Howey	MF	3	1	0	0	0	0	3	1
Kevin Johnson	FW	38	13	0 (1)	0	0	0	38 (1)	13
Chris Jones	MF	9 (5)	2	1 (1)	0	1 (1)	0	11 (7)	2
Lloyd Maitland	MF	10 (2)	0	2	0	4	0	16 (2)	0
Jim McCaffrey	MF	14 (1)	0	0	0	0	0	14 (1)	0
Bob Newton	FW	15 (2)	2	2	0	3 (1)	3	20 (3)	5
Peter Oliver	DF	41	1	2	0	4	0	47	1
Terry Poole	GK	24	0	2	0	4	0	30	0
Arnie Sidebottom	DF	18 (5)	2	2	1	0 (2)	0	20 (7)	3
Steve Smith	MF	44	3	2	0	4	0	50	3
Alan Starling	GK	13	0	0	0	0	0	13	0
Alan Sweeney	DF	21	0	1	0	0	0	22	0
Dick Taylor	GK	9	0	0	0	0	0	9	0
Paul Walker	MF	1	0	0	0	0	0	1	0
