Place	Player	Country	Score	To Par	Money ( $ )
1	Tony Manero	United States	73-69-73-67=282	–6	1,000
2	Harry Cooper	England United States	71-70-70-73=284	–4	750
3	Clarence Clark	United States	69-75-71-72=287	–1	650
4	Macdonald Smith	Scotland United States	73-73-72-70=288	E	550
T5	Wiffy Cox	United States	74-74-69-72=289	+1	350
T5	Ky Laffoon	United States	71-74-70-74=289	+1	350
T5	Henry Picard	United States	70-71-74-74=289	+1	350
T8	Ralph Guldahl	United States	73-70-73-74=290	+2	137
T8	Paul Runyan	United States	69-75-73-73=290	+2	137
10	Denny Shute	United States	72-69-73-77=291	+3	100
