Model	Specification	Build date	Total produced	Wheel arrangement	Prime mover	Power output
S-2	E1540	1940–1950	40	B-B	6-539T	hp (kW)
S-3	E-1530A	1950–1957	163	B-B	6-539	hp (kW)
S-4	E-1540A, E-1540B	1949–1957	146	B-B	6-539T	hp (kW)
E-1800	E-1800	1951	2	B-B	none	yard slug
E-1800	E-1800a	1957	2	B-2	none	yard slug
S-7	DL-1000 or ME-1000	1957	29	B-B	6-539T	hp (kW)
S-10	DL-066	1958	13	B-B	6-539	hp (kW)
S-11	DL-406	1959	10	B-B	6-539	hp (kW)
S-12	DL-410	1958	11	B-B	6-539T	hp (kW)
S-13	DL-411, DL-411A	1959–1967	56	B-B	6-251C	hp (kW)
