Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 2	Dallas	W 109–92 (OT)	Vince Carter (25)	Antonio Davis , Hakeem Olajuwon (8)	Morris Peterson , Alvin Williams (8)	Air Canada Centre 19,800	1–2
4	November 4	Indiana	W 113–100 (OT)	Vince Carter (28)	Hakeem Olajuwon (8)	Chris Childs (9)	Air Canada Centre 18,825	2–2
5	November 7	Golden State	W 109–92 (OT)	Vince Carter (39)	Antonio Davis (16)	Vince Carter (6)	Air Canada Centre 18,887	3–2
6	November 10	@ Utah	W 117–96 (OT)	Vince Carter (43)	Jerome Williams (9)	Alvin Williams (12)	Delta Center 18,194	4–2
7	November 11	@ Denver	L 85–96 (OT)	Vince Carter (22)	Antonio Davis (11)	Alvin Williams (7)	Pepsi Center 13,735	4–3
8	November 13	@ Sacramento	L 86–95 (OT)	Vince Carter (23)	Keon Clark (10)	Alvin Williams (5)	ARCO Arena 17,317	4–4
9	November 14	@ Golden State	W 89–82 (OT)	Vince Carter (24)	Keon Clark (9)	Vince Carter , Alvin Williams (5)	The Arena in Oakland 18,269	5–4
10	November 16	@ L.A. Clippers	W 94–85 (OT)	Vince Carter (29)	Hakeem Olajuwon (12)	Alvin Williams (9)	Staples Center 18,964	6–4
11	November 18	@ Phoenix	W 87–81 (OT)	Vince Carter (31)	Hakeem Olajuwon (12)	Alvin Williams (7)	America West Arena 14,823	7–4
12	November 20	Detroit	L 84–88 (OT)	Vince Carter (28)	Hakeem Olajuwon (20)	Chris Childs (5)	Air Canada Centre 19,800	7–5
13	November 22	Milwaukee	L 75–78 (OT)	Vince Carter (26)	Antonio Davis (11)	Alvin Williams (7)	Air Canada Centre 19,800	7–6
14	November 23	@ Boston	W 91–89 (OT)	Keon Clark (19)	Keon Clark (9)	Vince Carter (6)	FleetCenter 18,624	8–6
15	November 25	Philadelphia	W 107–88 (OT)	Vince Carter (30)	Keon Clark , Antonio Davis (10)	Alvin Williams (7)	Air Canada Centre 19,800	9–6
16	November 29	Memphis	W 91–88 (OT)	Vince Carter (23)	Antonio Davis (11)	Vince Carter , Alvin Williams (7)	Air Canada Centre 19,800	10–6
