Name	Position	Period	Appearances¹	Goals¹	Nationality²
Abel Braga	Defender	1979 – 1981	46	10	Brazil
Manuel Abreu	Defender	1983 – 1984	13	0	France
Fabrice Abriel	Midfielder	1999 – 2001	5	0	France
Adaílton	Forward	1998 – 1999	25	4	Brazil
Jean-Pierre Adams	Defender	1977 – 1979	43	2	France
Joaquin Agostinho	Midfielder	2001 – 2002	10	1	Portugal
Alex	Forward	2001 – 2002	28	3	Brazil
Alex	Defender	2012 –	50	6	Brazil
Jimmy Algerino	Defender	1996 – 2001	176	9	France
Mohamed Ali Messaoud	Forward	1976 – 1977	6	1	Algeria
Bernard Allou	Midfielder	1994 – 1998	57	5	France
Aloísio	Forward	2001 – 2003	78	18	Brazil
Jérôme Alonzo	Goalkeeper	2001 – 2008	94	0	France
João Alves	Midfielder	1979 – 1980	22	0	Portugal
Christian André	Forward	1972 – 1975, 1976 – 1977	76	42	France
André Luiz	Midfielder	2002 – 2004	23	2	Brazil
Nicolas Anelka *	Forward	1995 – 1997, 2000 – 2002	69	19	France
Jocelyn Angloma	Defender	1990 – 1991	39	6	France
Osvaldo Ardiles	Midfielder	1982	17	1	Argentina
Alphonse Areola	Goalkeeper	2013 -	2	0	Philippines
Sylvain Armand	Defender	2004 - 2013	380	12	France
Loris Arnaud	Forward	2007 - 2012	30	4	France
Claude Arribas	Midfielder	1971 – 1972	34	2	France
Mikel Arteta	Midfielder	2000 – 2002	53	5	Spain
Salah Assad	Forward	1983 – 1984	11	1	Algeria
Jean-Hugues Ateba	Defender	2004 – 2006	13	0	Cameroon
