Player	Country	Year(s) won	Total	To par	Finish
Seve Ballesteros	Spain	1980 , 1983	285	–3	T2
Ben Crenshaw	United States	1984	286	–2	T4
Bernhard Langer	West Germany	1985	289	+1	T7
Jack Nicklaus	United States	1963 , 1965 , 1966 , 1972 , 1975 , 1986	289	+1	T7
Tom Watson	United States	1977 , 1981	289	+1	T7
Craig Stadler	United States	1982	291	+3	T17
Fuzzy Zoeller	United States	1979	295	+7	T27
Gary Player	South Africa	1961 , 1974 , 1978	297	+9	T35
Tommy Aaron	United States	1973	305	+17	T50
Billy Casper	United States	1970	305	+17	T50
