Week	Date	Opponent	Result	Attendance
1	September 17, 1972	San Diego Chargers	W 34-3	59,438
2	September 24, 1972	at Buffalo Bills	L 27-20	45,845
3	October 1, 1972	at New Orleans Saints	W 37-2	69,840
4	October 8, 1972	at Los Angeles Rams	L 31-7	77,382
5	October 15, 1972	New York Giants	L 23-17	58,606
6	October 22, 1972	New Orleans Saints	T 20-20	59,167
7	October 29, 1972	at Atlanta Falcons	W 49-14	58,850
8	November 5, 1972	at Green Bay Packers	L 34-24	47,897
9	November 12, 1972	Baltimore Colts	W 24-21	61,214
10	November 19, 1972	at Chicago Bears	W 34-21	55,701
11	November 23, 1972	at Dallas Cowboys	W 31-10	65,124
12	December 4, 1972	Los Angeles Rams	L 26-16	61,214
13	December 10, 1972	Atlanta Falcons	W 20-0	61,214
14	December 16, 1972	Minnesota Vikings	W 20-17	61,214
