Place	Player	Country	Score	To par
T1	Alex Čejka	Germany	69-69-69=207	−6
T1	David Duval	United States	69-73-65=207	−6
T1	Bernhard Langer	Germany	71-69-67=207	−6
T1	Ian Woosnam	Wales	72-68-67=207	−6
T5	Darren Clarke	Northern Ireland	70-69-69=208	−5
T5	Pierre Fulke	Sweden	69-67-72=208	−5
T5	Raphaël Jacquelin	France	71-68-69=208	−5
T5	Miguel Ángel Jiménez	Spain	69-72-67=208	−5
T5	Billy Mayfair	United States	69-72-67=208	−5
T5	Colin Montgomerie	Scotland	65-70-73=208	−5
T5	Joe Ogilvie	United States	69-68-71=208	−5
T5	Jesper Parnevik	Sweden	69-68-71=208	−5
T5	Nick Price	Zimbabwe	73-67-68=208	−5
