Year	Competition	Venue	Position	Notes
2005	World Youth Championships	Marrakech , Morocco	1st	Heptathlon
2006	World Junior Championships	Beijing , PR China	1st	Heptathlon; 6227 = PB
2007	World Championships	Osaka, Japan	DNF	Heptathlon
2008	World Indoor Championships	Valencia, Spain	7th	Pentathlon
2008	Hypo-Meeting	Götzis , Austria	1st	Heptathlon ; 6618 = PB
2008	Olympic Games	Beijing , PR China	3rd	Heptathlon
2009	Hypo-Meeting	Götzis , Austria	7th	Heptathlon
2009	World Championships	Berlin , Germany	8th	Heptathlon
2010	World Indoor Championships	Doha , Qatar	3rd	Pentathlon
2010	European Championships	Barcelona , Spain	4th	Heptathlon
2011	World Championships	Daegu , South Korea	1st	Heptathlon ; 6880 = PB
2012	Olympic Games	London , United Kingdom	3rd	Heptathlon
2013	Universiade	Kazan , Russia	1st	Heptathlon
