Scientific Linux Release	Architectures	RHEL base	Scientific Linux release date	RHEL release date	Delay
3.0.1	i386 , x86-64	3.1	2004-05-10	2004-01-16	106d
3.0.2	i386, x86-64, IA-64	3.2	2004-06-28	2004-05-18	41d
3.0.3	i386, x86-64, IA-64	3.3	2004-10-03	2004-09-03	30d
3.0.4	i386, x86-64, IA-64	3.4	2005-02-11	2004-12-21	52d
3.0.5	i386, x86-64, IA-64	3.5	2005-07-25	2005-05-20	66d
3.0.6	i386, x86-64, IA-64	3.6	2005-11-07	2005-09-28	40d
3.0.7	i386, x86-64, IA-64	3.7	2006-05-26	2006-03-15	72d
3.0.8	i386, x86-64,IA-64	3.8	2006-10-31	2006-07-20	103d
3.0.9	i386, x86-64, IA-64	3.9	2007-10-12	2007-06-15	119d
4.0	i386, x86-64	4	2005-04-20	2005-02-14	65d
4.1	i386, x86-64, IA-64	4.1	2005-08-06	2005-06-08	59d
4.2	i386, x86_64	4.2	2005-11-22	2005-10-05	48d
4.3	i386, x86_64	4.3	2006-05-08	2006-03-12	57d
4.4	i386, x86_64	4.4	2006-10-09	2006-08-10	60d
4.5	i386, x86_64	4.5	2007-06-25	2007-05-01	55d
4.6	i386, x86-64	4.6	2008-03-12	2007-11-16	117d
4.7	i386, x86-64	4.7	2008-09-03	2008-07-24	41d
4.8	i386, x86-64	4.8	2009-07-28	2009-05-18	71d
4.9	i386, x86-64	4.9	2011-04-21	2011-02-16	64d
5.0	i386, x86-64	5	2007-05-14	2007-03-14	61d
5.1	i386, x86-64	5.1	2008-01-16	2007-11-07	70d
5.2	i386, x86-64	5.2	2008-06-26	2008-05-21	36d
5.3	i386, x86-64	5.3	2009-03-19	2009-01-20	58d
5.4	i386, x86-64	5.4	2009-11-04	2009-09-02	63d
5.5	i386, x86-64	5.5	2010-05-19	2010-03-31	49d
5.6	i386, x86-64	5.6	2011-06-21	2011-01-13	159d
5.7	i386, x86-64	5.7	2011-09-14	2011-07-21	55d
5.8	i386, x86-64	5.8	2012-04-24	2012-02-21	63d
5.9	i386, x86-64	5.9	2013-02-05	2013-01-08	28d
5.10	i386, x86-64	5.10	2013-xx-xx	2013-09-30	xx d
6.0	i386, x86-64	6	2011-03-03	2010-11-10	113d
6.1	i386, x86-64	6.1	2011-07-28	2011-05-19	70d
6.2	i386, x86-64	6.2	2012-02-16	2011-12-06	72d
6.3	i386, x86-64	6.3	2012-08-08	2012-06-21	48d
