Player	Height	Position	Year born	Current Club
Miguel Minhava	1,97	Guard	1983	CB L'Hospitalet
Mário Gil Fernandes	1,74	Guard	1982	CB Plasencia
Sérgio Ramos	2,00	Forward	1975	Drac Inca
Paulo Cunha	1,99	Forward	1980	FC Porto
Francisco Jordão	2,00	Center	1979	1º de Agosto
Filipe da Silva	1,93	Guard	1979	CB Villa de los Barrios
João "Betinho" Gomes	1,99	Forward	1985	FC Barreirense
Jorge Coelho	2,00	Center	1978	CB Palencia
Paulo Simão	1,98	Forward	1976	CF Belenenses
Elvis Évora	2,05	Center	1978	Ovarense Aerosoles
Miguel Miranda	2,05	Center	1978	Ovarense Aerosoles
João Santos	2,03	Forward	1979	Grupo Capitol Valladolid
