Week	Partner	Dance	Song	Result
1	Mark Kanemura	Contemporary	"Beautiful" – Meshell Ndegeocello	Safe
2	Mark Kanemura	Argentine tango	"Mi Confesión" – Gotan Project	Safe
3	Mark Kanemura	Lyrical hip-hop	" Bleeding Love " – Leona Lewis	Safe
4	Mark Kanemura	Jazz	" Kiss Kiss " – Holly Valance	Safe
4	Mark Kanemura	Foxtrot	" It's My Life " – Paul Anka	Safe
5	Mark Kanemura	Salsa	"Fuego" – Joe Bataan	Safe
5	Mark Kanemura	Broadway	" I'm a Woman " from Smokey Joe's Cafe	Safe
6	Gev Manoukian	Contemporary	"These Arms of Mine" – Otis Redding	Safe
6	Gev Manoukian	Jive	"The House is Rockin'" – Brian Setzer Orchestra	Safe
6	Solo	Solo	" Pon de Replay " – Rihanna	Safe
7	Joshua Allen	Argentine tango	"A Los Amigos" from Forever Tango	Safe
7	Joshua Allen	Disco	" Everlasting Love " – Gloria Estefan	Safe
7	Solo	Solo	" Damaged " – Danity Kane	Safe
8	Stephen "Twitch" Boss	Mambo	"Ahora Me Toca A Mi" – Víctor Manuelle	Eliminated
8	Stephen "Twitch" Boss	Hip-hop	" Control " – Vitamin String Quartet	Eliminated
8	Solo	Solo	" When I Grow Up " – The Pussycat Dolls	Eliminated
8	Results show solo	Results show solo	"The Girl's Gone Wild" – Travis Tritt	Eliminated
