Locomotive number	Model	Type	Propulsion	Manufacturer
CTN 32	VO-1000	Switcher	Diesel-electric	Baldwin Locomotive Works
CTN 46	EMD SW900	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 50	EMD SW9	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 51	EMD SW9	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 1201	EMD SW1200	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 1203	EMD SW1200	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 1204	EMD SW1200RS	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 1307	EMD GP7 U	Four-axle roadswitcher	Diesel-electric	GM Electro-Motive Div.
CTN 1364	EMD GP7U	Four-axle roadswitcher	Diesel-electric	GM Electro-Motive Div.
CTN 1501	EMD SW1500	Switcher	Diesel-electric	GM Electro-Motive Div.
CTN 1502	EMD SW1500	Switcher	Diesel-electric	GM Electro-Motive Div.
