No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
77	1	"It's a Wonderful Life"	David Trainer	Linda Wallem	September25,2001	401
78	2	"Eric's Depression"	David Trainer	Bryan Moore & Chris Peterson	September26,2001	402
79	3	"Pinciotti vs. Forman"	David Trainer	Kristin Newman	October2,2001	403
80	4	"Hyde Gets the Girl"	David Trainer	Sarah McLaughlin & Alan Dybner	October9,2001	404
81	5	"Bye-Bye Basement"	David Trainer	Mark Hudis	October16,2001	405
82	6	"The Relapse"	David Trainer	Jeff Filgo & Jackie Filgo	November6,2001	406
83	7	"Uncomfortable Ball Stuff"	David Trainer	Dave Schiff	November13,2001	407
84	8	"Donna's Story"	David Trainer	Philip Stark	November20,2001	408
85	9	"The Forgotten Son"	David Trainer	Kristin Newman	November21,2001	409
86	10	"Red and Stacey"	David Trainer	Gregg Mettler	November27,2001	410
87	11	"The Third Wheel"	David Trainer	Bryan Moore & Chris Peterson	December11,2001	411
88	12	"An Eric Forman Christmas"	David Trainer	Dean Batali & Rob des Hotel	December18,2001	412
89	13	"Jackie Says Cheese"	David Trainer	Mark Hudis	January8,2002	413
90	14	"Eric's Hot Cousin"	David Trainer	Will Forte	January22,2002	414
91	15	"Tornado Prom"	David Trainer	Dave Schiff	February5,2002	415
92	16	"Donna Dates a Kelso"	David Trainer	Dean Batali & Rob des Hotel	February5,2002	416
93	17	"Kelso's Career"	David Trainer	Gregg Mettler	February12,2002	417
94	18	"Leo Loves Kitty"	David Trainer	Will Forte	February19,2002	418
95	19	"Jackie's Cheese Squeeze"	David Trainer	Chris Peterson & Bryan Moore	February26,2002	419
96	20	"Class Picture"	David Trainer	Kristin Newman	March19,2002	420
97	21	"Prank Day"	David Trainer	Alan Dybner	March26,2002	421
98	22	"Eric's Corvette Caper"	David Trainer	Philip Stark	April9,2002	422
99	23	"Hyde's Birthday"	David Trainer	Mark Hudis	April23,2002	423
100	24	"That '70s Musical"	David Trainer	Rob des Hotel & Dean Batali	April30,2002	424
101	25	"Eric's False Alarm"	David Trainer	Dave Schiff	May7,2002	425
102	26	"Everybody Loves Casey"	David Trainer	Gregg Mettler	May14,2002	426
